Week, ice cream, ice cream (std error), full moon, full moon (std error)
Jan 4 2004, 0.94, 5%, 0.58, 5%
Jan 11 2004, 1.02, 5%, 0.30, 10%
Jan 18 2004, 1.00, 5%, 0.32, 10%
Jan 25 2004, 1.04, 5%, 0.28, 10%
Feb 1 2004, 1.04, 5%, 0.48, 10%
Feb 8 2004, 1.02, 5%, 0.30, 10%
Feb 15 2004, 1.06, 5%, 0.28, 10%
Feb 22 2004, 1.10, 5%, 0.30, 10%
Feb 29 2004, 1.04, 5%, 0.38, 10%
Mar 7 2004, 1.14, 5%, 0.32, 10%
Mar 14 2004, 1.12, 5%, 0.28, 10%
Mar 21 2004, 1.16, 5%, 0.30, 10%
Mar 28 2004, 1.18, 5%, 0.34, 10%
Apr 4 2004, 1.22, 5%, 0.46, 5%
Apr 11 2004, 1.28, 5%, 0.26, 10%
Apr 18 2004, 1.36, 5%, 0.28, 10%
Apr 25 2004, 1.46, 3%, 0.30, 10%
May 2 2004, 1.36, 5%, 0.48, 5%
May 9 2004, 1.42, 3%, 0.26, 10%
May 16 2004, 1.54, 3%, 0.30, 10%
May 23 2004, 1.42, 3%, 0.32, 10%
May 30 2004, 1.60, 3%, 0.52, 5%
Jun 6 2004, 1.50, 3%, 0.28, 10%
Jun 13 2004, 1.54, 3%, 0.28, 10%
Jun 20 2004, 1.56, 3%, 0.28, 10%
Jun 27 2004, 1.72, 3%, 0.56, 5%
Jul 4 2004, 1.86, 3%, 0.30, 10%
Jul 11 2004, 1.60, 5%, 0.28, 10%
Jul 18 2004, 1.64, 3%, 0.36, 10%
Jul 25 2004, 1.80, 3%, 0.54, 5%
Aug 1 2004, 1.58, 3%, 0.36, 10%
Aug 8 2004, 1.44, 5%, 0.28, 10%
Aug 15 2004, 1.30, 5%, 0.30, 10%
Aug 22 2004, 1.32, 5%, 0.42, 5%
Aug 29 2004, 1.16, 5%, 0.52, 5%
Sep 5 2004, 1.18, 5%, 0.26, 10%
Sep 12 2004, 1.22, 5%, 0.28, 10%
Sep 19 2004, 1.16, 5%, 0.34, 10%
Sep 26 2004, 1.08, 5%, 0.60, 5%
Oct 3 2004, 1.04, 5%, 0.30, 10%
Oct 10 2004, 0.98, 5%, 0.28, 10%
Oct 17 2004, 0.96, 5%, 0.32, 10%
Oct 24 2004, 1.02, 5%, 0.60, 5%
Oct 31 2004, 1.00, 5%, 0.26, 10%
Nov 7 2004, 1.08, 5%, 0.28, 10%
Nov 14 2004, 1.04, 5%, 0.26, 10%
Nov 21 2004, 0.96, 5%, 0.42, 5%
Nov 28 2004, 1.02, 5%, 0.26, 10%
Dec 5 2004, 1.02, 5%, 0.28, 10%
Dec 12 2004, 1.02, 5%, 0.28, 10%
Dec 19 2004, 1.08, 5%, 0.34, 10%
Dec 26 2004, 0.88, 5%, 0.44, 10%
Jan 2 2005, 0.94, 5%, 0.26, 10%
Jan 9 2005, 0.98, 5%, 0.26, 10%
Jan 16 2005, 0.98, 5%, 0.28, 10%
Jan 23 2005, 1.04, 3%, 0.52, 5%
Jan 30 2005, 1.06, 3%, 0.26, 10%
Feb 6 2005, 1.08, 3%, 0.26, 10%
Feb 13 2005, 1.10, 3%, 0.32, 5%
Feb 20 2005, 1.10, 3%, 0.54, 5%
Feb 27 2005, 1.10, 3%, 0.28, 10%
Mar 6 2005, 1.12, 3%, 0.30, 10%
Mar 13 2005, 1.14, 3%, 0.30, 10%
Mar 20 2005, 1.14, 3%, 0.52, 5%
Mar 27 2005, 1.06, 3%, 0.32, 5%
Apr 3 2005, 1.24, 5%, 0.26, 10%
Apr 10 2005, 1.18, 3%, 0.28, 10%
Apr 17 2005, 1.40, 3%, 0.42, 5%
Apr 24 2005, 1.32, 3%, 0.36, 5%
May 1 2005, 1.46, 3%, 0.28, 10%
May 8 2005, 1.36, 3%, 0.28, 10%
May 15 2005, 1.38, 3%, 0.30, 5%
May 22 2005, 1.48, 3%, 0.42, 5%
May 29 2005, 1.50, 3%, 0.26, 10%
Jun 5 2005, 1.52, 3%, 0.30, 10%
Jun 12 2005, 1.62, 3%, 0.32, 5%
Jun 19 2005, 1.78, 3%, 0.66, 5%
Jun 26 2005, 1.88, 3%, 0.28, 10%
Jul 3 2005, 1.80, 3%, 0.28, 10%
Jul 10 2005, 1.76, 3%, 0.34, 5%
Jul 17 2005, 1.74, 3%, 0.64, 5%
Jul 24 2005, 1.60, 3%, 0.32, 5%
Jul 31 2005, 1.58, 3%, 0.34, 5%
Aug 7 2005, 1.52, 3%, 0.30, 10%
Aug 14 2005, 1.42, 3%, 0.58, 5%
Aug 21 2005, 1.26, 3%, 0.34, 5%
Aug 28 2005, 1.16, 3%, 0.28, 10%
Sep 4 2005, 1.16, 3%, 0.28, 10%
Sep 11 2005, 1.10, 3%, 0.44, 5%
Sep 18 2005, 1.04, 3%, 0.42, 5%
Sep 25 2005, 1.04, 3%, 0.26, 10%
Oct 2 2005, 1.00, 3%, 0.30, 5%
Oct 9 2005, 1.00, 3%, 0.36, 5%
Oct 16 2005, 0.94, 3%, 0.52, 5%
Oct 23 2005, 0.88, 3%, 0.28, 5%
Oct 30 2005, 0.90, 3%, 0.32, 5%
Nov 6 2005, 0.92, 5%, 0.30, 5%
Nov 13 2005, 0.96, 3%, 0.56, 5%
Nov 20 2005, 0.94, 3%, 0.22, 10%
Nov 27 2005, 0.98, 3%, 0.26, 5%
Dec 4 2005, 0.96, 3%, 0.26, 5%
Dec 11 2005, 0.96, 3%, 0.46, 5%
Dec 18 2005, 1.00, 3%, 0.26, 10%
Dec 25 2005, 0.88, 5%, 0.26, 10%
Jan 1 2006, 0.92, 3%, 0.30, 5%
Jan 8 2006, 0.90, 3%, 0.58, 5%
Jan 15 2006, 0.94, 3%, 0.36, 5%
Jan 22 2006, 0.96, 3%, 0.26, 5%
Jan 29 2006, 1.04, 3%, 0.30, 5%
Feb 5 2006, 0.96, 3%, 0.36, 5%
Feb 12 2006, 0.96, 3%, 0.40, 5%
Feb 19 2006, 1.02, 3%, 0.24, 10%
Feb 26 2006, 1.00, 3%, 0.30, 5%
Mar 5 2006, 0.98, 3%, 0.32, 5%
Mar 12 2006, 1.00, 3%, 0.52, 5%
Mar 19 2006, 1.06, 3%, 0.28, 5%
Mar 26 2006, 1.10, 3%, 0.26, 5%
Apr 2 2006, 1.18, 3%, 0.28, 5%
Apr 9 2006, 1.26, 3%, 0.54, 5%
Apr 16 2006, 1.26, 3%, 0.26, 5%
Apr 23 2006, 1.34, 3%, 0.28, 5%
Apr 30 2006, 1.36, 3%, 0.28, 5%
May 7 2006, 1.40, 3%, 0.46, 5%
May 14 2006, 1.36, 3%, 0.32, 5%
May 21 2006, 1.46, 3%, 0.26, 5%
May 28 2006, 1.60, 3%, 0.28, 5%
Jun 4 2006, 1.56, 3%, 0.40, 5%
Jun 11 2006, 1.58, 3%, 0.40, 5%
Jun 18 2006, 1.56, 3%, 0.28, 5%
Jun 25 2006, 1.68, 3%, 0.30, 5%
Jul 2 2006, 1.96, 3%, 0.34, 5%
Jul 9 2006, 1.70, 3%, 0.54, 5%
Jul 16 2006, 1.98, 3%, 0.30, 5%
Jul 23 2006, 1.86, 3%, 0.32, 5%
Jul 30 2006, 1.70, 3%, 0.34, 5%
Aug 6 2006, 1.58, 3%, 0.68, 3%
Aug 13 2006, 1.48, 3%, 0.30, 5%
Aug 20 2006, 1.40, 3%, 0.28, 5%
Aug 27 2006, 1.22, 3%, 0.30, 5%
Sep 3 2006, 1.24, 3%, 0.62, 3%
Sep 10 2006, 1.14, 3%, 0.26, 5%
Sep 17 2006, 1.12, 3%, 0.28, 5%
Sep 24 2006, 1.10, 3%, 0.28, 5%
Oct 1 2006, 1.08, 3%, 0.62, 3%
Oct 8 2006, 1.02, 3%, 0.32, 5%
Oct 15 2006, 1.00, 3%, 0.24, 5%
Oct 22 2006, 1.04, 3%, 0.26, 5%
Oct 29 2006, 0.98, 3%, 0.40, 5%
Nov 5 2006, 1.00, 3%, 0.38, 5%
Nov 12 2006, 1.00, 3%, 0.22, 5%
Nov 19 2006, 1.02, 3%, 0.22, 5%
Nov 26 2006, 1.12, 3%, 0.26, 5%
Dec 3 2006, 1.06, 3%, 0.46, 5%
Dec 10 2006, 1.08, 3%, 0.20, 5%
Dec 17 2006, 1.10, 3%, 0.20, 10%
Dec 24 2006, 0.98, 3%, 0.26, 5%
Dec 31 2006, 0.98, 3%, 0.54, 5%
Jan 7 2007, 1.04, 3%, 0.24, 5%
Jan 14 2007, 0.98, 3%, 0.24, 5%
Jan 21 2007, 0.98, 3%, 0.28, 5%
Jan 28 2007, 1.00, 3%, 0.52, 3%
Feb 4 2007, 1.00, 3%, 0.26, 5%
Feb 11 2007, 1.06, 3%, 0.22, 5%
Feb 18 2007, 1.02, 3%, 0.28, 5%
Feb 25 2007, 1.06, 3%, 0.42, 5%
Mar 4 2007, 1.10, 3%, 0.30, 5%
Mar 11 2007, 1.14, 3%, 0.24, 5%
Mar 18 2007, 1.16, 3%, 0.26, 5%
Mar 25 2007, 1.20, 3%, 0.30, 5%
Apr 1 2007, 1.22, 3%, 0.44, 5%
Apr 8 2007, 1.18, 3%, 0.24, 5%
Apr 15 2007, 1.34, 3%, 0.26, 5%
Apr 22 2007, 1.32, 3%, 0.26, 5%
Apr 29 2007, 1.46, 3%, 0.52, 3%
May 6 2007, 1.40, 3%, 0.24, 5%
May 13 2007, 1.48, 3%, 0.26, 5%
May 20 2007, 1.46, 3%, 0.28, 5%
May 27 2007, 1.52, 3%, 0.52, 3%
Jun 3 2007, 1.54, 3%, 0.28, 5%
Jun 10 2007, 1.58, 3%, 0.26, 5%
Jun 17 2007, 1.48, 3%, 0.26, 5%
Jun 24 2007, 1.58, 3%, 0.46, 3%
Jul 1 2007, 1.78, 3%, 0.32, 5%
Jul 8 2007, 1.66, 3%, 0.26, 5%
Jul 15 2007, 1.60, 3%, 0.30, 5%
Jul 22 2007, 1.54, 3%, 0.40, 5%
Jul 29 2007, 1.50, 3%, 0.48, 3%
Aug 5 2007, 1.44, 3%, 0.24, 5%
Aug 12 2007, 1.44, 3%, 0.28, 5%
Aug 19 2007, 1.30, 3%, 0.32, 5%
Aug 26 2007, 1.26, 3%, 0.56, 3%
Sep 2 2007, 1.16, 3%, 0.22, 5%
Sep 9 2007, 1.12, 3%, 0.26, 5%
Sep 16 2007, 1.10, 3%, 0.28, 5%
Sep 23 2007, 1.04, 3%, 0.60, 3%
Sep 30 2007, 1.04, 3%, 0.24, 5%
Oct 7 2007, 1.00, 3%, 0.28, 5%
Oct 14 2007, 1.00, 3%, 0.26, 5%
Oct 21 2007, 0.94, 3%, 0.54, 3%
Oct 28 2007, 0.90, 3%, 0.28, 5%
Nov 4 2007, 0.90, 3%, 0.22, 5%
Nov 11 2007, 0.92, 3%, 0.24, 5%
Nov 18 2007, 0.92, 3%, 0.36, 5%
Nov 25 2007, 0.96, 3%, 0.28, 5%
Dec 2 2007, 0.94, 3%, 0.22, 5%
Dec 9 2007, 0.98, 3%, 0.22, 5%
Dec 16 2007, 1.00, 3%, 0.28, 5%
Dec 23 2007, 0.92, 3%, 0.36, 5%
Dec 30 2007, 0.96, 3%, 0.26, 5%
Jan 6 2008, 0.98, 3%, 0.26, 5%
Jan 13 2008, 0.98, 3%, 0.28, 5%
Jan 20 2008, 0.94, 3%, 0.46, 3%
Jan 27 2008, 0.98, 3%, 0.24, 5%
Feb 3 2008, 1.00, 3%, 0.26, 5%
Feb 10 2008, 1.00, 3%, 0.26, 5%
Feb 17 2008, 1.02, 3%, 0.48, 3%
Feb 24 2008, 1.04, 3%, 0.24, 5%
Mar 2 2008, 1.06, 3%, 0.24, 5%
Mar 9 2008, 1.08, 3%, 0.26, 5%
Mar 16 2008, 1.06, 3%, 0.52, 3%
Mar 23 2008, 1.08, 3%, 0.28, 5%
Mar 30 2008, 1.14, 3%, 0.24, 5%
Apr 6 2008, 1.18, 3%, 0.24, 5%
Apr 13 2008, 1.18, 3%, 0.36, 5%
Apr 20 2008, 1.30, 3%, 0.36, 5%
Apr 27 2008, 1.40, 3%, 0.26, 5%
May 4 2008, 1.42, 3%, 0.26, 5%
May 11 2008, 1.38, 3%, 0.30, 5%
May 18 2008, 1.40, 3%, 0.46, 3%
May 25 2008, 1.50, 3%, 0.24, 5%
Jun 1 2008, 1.46, 3%, 0.24, 5%
Jun 8 2008, 1.54, 3%, 0.28, 5%
Jun 15 2008, 1.50, 3%, 0.52, 3%
Jun 22 2008, 1.60, 3%, 0.26, 5%
Jun 29 2008, 1.68, 3%, 0.24, 5%
Jul 6 2008, 1.54, 3%, 0.26, 5%
Jul 13 2008, 1.56, 3%, 0.58, 3%
Jul 20 2008, 1.56, 3%, 0.28, 5%
Jul 27 2008, 1.50, 3%, 0.26, 5%
Aug 3 2008, 1.40, 3%, 0.28, 5%
Aug 10 2008, 1.42, 3%, 0.48, 3%
Aug 17 2008, 1.32, 3%, 0.34, 5%
Aug 24 2008, 1.22, 3%, 0.26, 5%
Aug 31 2008, 1.20, 3%, 0.24, 5%
Sep 7 2008, 1.08, 3%, 0.34, 5%
Sep 14 2008, 1.06, 3%, 0.46, 3%
Sep 21 2008, 1.12, 3%, 0.22, 5%
Sep 28 2008, 1.00, 3%, 0.26, 5%
Oct 5 2008, 0.98, 3%, 0.28, 5%
Oct 12 2008, 0.98, 3%, 0.56, 3%
Oct 19 2008, 0.94, 3%, 0.22, 5%
Oct 26 2008, 0.88, 3%, 0.24, 5%
Nov 2 2008, 0.92, 3%, 0.26, 5%
Nov 9 2008, 0.94, 3%, 0.52, 3%
Nov 16 2008, 0.94, 3%, 0.24, 5%
Nov 23 2008, 0.92, 3%, 0.26, 5%
Nov 30 2008, 0.90, 3%, 0.28, 5%
Dec 7 2008, 0.96, 3%, 0.60, 3%
Dec 14 2008, 0.96, 3%, 0.28, 5%
Dec 21 2008, 0.92, 3%, 0.26, 5%
Dec 28 2008, 0.96, 3%, 0.32, 5%
Jan 4 2009, 0.88, 3%, 0.52, 3%
Jan 11 2009, 0.90, 3%, 0.46, 3%
Jan 18 2009, 0.96, 3%, 0.30, 5%
Jan 25 2009, 1.00, 3%, 0.32, 5%
Feb 1 2009, 1.00, 3%, 0.34, 5%
Feb 8 2009, 1.06, 3%, 0.52, 3%
Feb 15 2009, 1.00, 3%, 0.26, 5%
Feb 22 2009, 1.06, 3%, 0.30, 5%
Mar 1 2009, 1.08, 3%, 0.32, 5%
Mar 8 2009, 1.12, 3%, 0.58, 3%
Mar 15 2009, 1.16, 3%, 0.26, 5%
Mar 22 2009, 1.16, 3%, 0.28, 5%
Mar 29 2009, 1.22, 3%, 0.32, 5%
Apr 5 2009, 1.30, 3%, 0.58, 3%
Apr 12 2009, 1.28, 3%, 0.30, 5%
Apr 19 2009, 1.42, 3%, 0.28, 5%
Apr 26 2009, 1.54, 3%, 0.32, 5%
May 3 2009, 1.50, 3%, 0.50, 3%
May 10 2009, 1.52, 3%, 0.32, 5%
May 17 2009, 1.64, 3%, 0.28, 5%
May 24 2009, 1.72, 3%, 0.30, 5%
May 31 2009, 1.72, 3%, 0.46, 3%
Jun 7 2009, 1.82, 3%, 0.44, 3%
Jun 14 2009, 1.78, 3%, 0.30, 5%
Jun 21 2009, 1.76, 3%, 0.30, 5%
Jun 28 2009, 2.02, 3%, 0.36, 3%
Jul 5 2009, 1.86, 3%, 0.56, 3%
Jul 12 2009, 1.96, 3%, 0.30, 5%
Jul 19 2009, 1.96, 3%, 0.34, 5%
Jul 26 2009, 1.88, 3%, 0.36, 3%
Aug 2 2009, 1.82, 3%, 0.72, 3%
Aug 9 2009, 1.90, 3%, 0.32, 5%
Aug 16 2009, 1.76, 3%, 0.32, 5%
Aug 23 2009, 1.58, 3%, 0.32, 5%
Aug 30 2009, 1.56, 3%, 0.66, 3%
Sep 6 2009, 1.46, 3%, 0.34, 5%
Sep 13 2009, 1.42, 3%, 0.32, 5%
Sep 20 2009, 1.36, 3%, 0.34, 3%
Sep 27 2009, 1.26, 3%, 0.50, 3%
Oct 4 2009, 1.18, 3%, 0.46, 3%
Oct 11 2009, 1.16, 3%, 0.28, 5%
Oct 18 2009, 1.18, 3%, 0.32, 5%
Oct 25 2009, 1.16, 3%, 0.38, 3%
Nov 1 2009, 1.16, 3%, 0.66, 3%
Nov 8 2009, 1.20, 3%, 0.36, 3%
Nov 15 2009, 1.22, 3%, 0.58, 3%
Nov 22 2009, 1.18, 3%, 0.66, 3%
Nov 29 2009, 1.14, 3%, 0.74, 3%
Dec 6 2009, 1.14, 3%, 0.38, 3%
Dec 13 2009, 1.18, 3%, 0.36, 3%
Dec 20 2009, 1.20, 3%, 0.36, 3%
Dec 27 2009, 1.12, 3%, 0.74, 3%
Jan 3 2010, 1.04, 3%, 0.34, 3%
Jan 10 2010, 1.12, 3%, 0.34, 3%
Jan 17 2010, 1.12, 3%, 0.34, 3%
Jan 24 2010, 1.18, 3%, 0.64, 3%
Jan 31 2010, 1.16, 3%, 0.40, 3%
Feb 7 2010, 1.24, 3%, 0.30, 5%
Feb 14 2010, 1.14, 3%, 0.32, 5%
Feb 21 2010, 1.14, 3%, 0.40, 3%
Feb 28 2010, 1.20, 3%, 0.46, 3%
Mar 7 2010, 1.20, 3%, 0.30, 5%
Mar 14 2010, 1.26, 3%, 0.32, 5%
Mar 21 2010, 1.32, 3%, 0.36, 3%
Mar 28 2010, 1.38, 3%, 0.56, 3%
Apr 4 2010, 1.34, 3%, 0.26, 5%
Apr 11 2010, 1.40, 3%, 0.28, 5%
Apr 18 2010, 1.44, 3%, 0.30, 5%
Apr 25 2010, 1.48, 3%, 0.60, 3%
May 2 2010, 1.54, 3%, 0.26, 5%
May 9 2010, 1.48, 3%, 0.26, 5%
May 16 2010, 1.62, 3%, 0.28, 5%
May 23 2010, 1.72, 3%, 0.56, 3%
May 30 2010, 1.74, 3%, 0.26, 5%
Jun 6 2010, 1.64, 3%, 0.26, 5%
Jun 13 2010, 1.74, 3%, 0.30, 5%
Jun 20 2010, 1.80, 3%, 0.58, 3%
Jun 27 2010, 1.96, 3%, 0.40, 3%
Jul 4 2010, 2.10, 3%, 0.30, 5%
Jul 11 2010, 1.96, 3%, 0.32, 5%
Jul 18 2010, 2.10, 3%, 0.48, 3%
Jul 25 2010, 1.92, 3%, 0.64, 3%
Aug 1 2010, 1.94, 3%, 0.28, 5%
Aug 8 2010, 1.88, 3%, 0.32, 3%
Aug 15 2010, 1.76, 3%, 0.36, 3%
Aug 22 2010, 1.62, 3%, 0.78, 3%
Aug 29 2010, 1.50, 3%, 0.26, 5%
Sep 5 2010, 1.42, 3%, 0.30, 5%
Sep 12 2010, 1.38, 3%, 0.32, 3%
Sep 19 2010, 1.36, 3%, 0.86, 3%
Sep 26 2010, 1.32, 3%, 0.28, 5%
Oct 3 2010, 1.26, 3%, 0.28, 5%
Oct 10 2010, 1.26, 3%, 0.30, 5%
Oct 17 2010, 1.16, 3%, 0.76, 3%
Oct 24 2010, 1.10, 3%, 0.38, 3%
Oct 31 2010, 1.08, 3%, 0.26, 5%
Nov 7 2010, 1.12, 3%, 0.26, 5%
Nov 14 2010, 1.16, 3%, 0.48, 3%
Nov 21 2010, 1.12, 3%, 0.50, 3%
Nov 28 2010, 1.06, 3%, 0.24, 5%
Dec 5 2010, 1.12, 3%, 0.28, 5%
Dec 12 2010, 1.12, 3%, 0.30, 5%
Dec 19 2010, 1.20, 3%, 0.60, 3%
Dec 26 2010, 1.14, 3%, 0.28, 5%
Jan 2 2011, 1.10, 3%, 0.32, 3%
Jan 9 2011, 1.50, 3%, 0.30, 5%
Jan 16 2011, 1.42, 3%, 0.70, 3%
Jan 23 2011, 1.32, 3%, 0.30, 3%
Jan 30 2011, 1.46, 3%, 0.28, 5%
Feb 6 2011, 1.36, 3%, 0.30, 5%
Feb 13 2011, 1.30, 3%, 0.68, 3%
Feb 20 2011, 1.34, 3%, 0.30, 3%
Feb 27 2011, 1.36, 3%, 0.28, 5%
Mar 6 2011, 1.36, 3%, 0.36, 3%
Mar 13 2011, 1.34, 3%, 1.08, 3%
Mar 20 2011, 1.42, 3%, 0.56, 3%
Mar 27 2011, 1.56, 3%, 0.26, 5%
Apr 3 2011, 5.00, 2%, 0.28, 5%
Apr 10 2011, 1.64, 3%, 0.38, 3%
Apr 17 2011, 1.72, 3%, 0.60, 3%
Apr 24 2011, 1.66, 3%, 0.26, 5%
May 1 2011, 1.76, 3%, 0.28, 5%
May 8 2011, 1.92, 3%, 0.34, 3%
May 15 2011, 1.80, 3%, 0.62, 3%
May 22 2011, 1.88, 3%, 0.26, 5%
May 29 2011, 2.10, 3%, 0.28, 5%
Jun 5 2011, 2.08, 3%, 0.32, 3%
Jun 12 2011, 2.10, 2%, 0.78, 3%
Jun 19 2011, 2.14, 3%, 0.28, 5%
Jun 26 2011, 2.28, 2%, 0.34, 3%
Jul 3 2011, 2.42, 2%, 0.36, 3%
Jul 10 2011, 2.24, 3%, 0.90, 3%
Jul 17 2011, 2.42, 3%, 0.40, 3%
Jul 24 2011, 2.14, 3%, 0.32, 3%
Jul 31 2011, 2.16, 3%, 0.36, 3%
Aug 7 2011, 2.06, 3%, 0.78, 3%
Aug 14 2011, 1.98, 3%, 0.50, 3%
Aug 21 2011, 1.84, 3%, 0.32, 3%
Aug 28 2011, 1.74, 3%, 0.34, 3%
Sep 4 2011, 1.84, 3%, 0.44, 3%
Sep 11 2011, 1.66, 3%, 0.76, 3%
Sep 18 2011, 1.62, 3%, 0.30, 3%
Sep 25 2011, 1.66, 3%, 0.32, 3%
Oct 2 2011, 1.62, 3%, 0.36, 3%
Oct 9 2011, 1.74, 3%, 0.80, 3%
Oct 16 2011, 2.70, 3%, 0.26, 5%
Oct 23 2011, 2.00, 3%, 0.30, 3%
Oct 30 2011, 1.78, 3%, 0.32, 3%
Nov 6 2011, 1.76, 3%, 0.84, 3%
Nov 13 2011, 1.92, 3%, 0.30, 3%
Nov 20 2011, 1.98, 3%, 0.24, 5%
Nov 27 2011, 1.90, 3%, 0.30, 3%
Dec 4 2011, 1.90, 3%, 0.62, 3%
Dec 11 2011, 2.04, 3%, 0.38, 3%
Dec 18 2011, 2.36, 3%, 0.26, 5%
Dec 25 2011, 2.18, 3%, 0.30, 3%
Jan 1 2012, 2.10, 3%, 0.46, 3%
Jan 8 2012, 2.14, 3%, 0.74, 3%
Jan 15 2012, 2.08, 2%, 0.28, 5%
Jan 22 2012, 2.10, 3%, 0.32, 3%
Jan 29 2012, 2.08, 3%, 0.34, 3%
Feb 5 2012, 2.14, 3%, 0.74, 3%
Feb 12 2012, 2.12, 3%, 0.26, 5%
Feb 19 2012, 2.14, 3%, 0.28, 5%
Feb 26 2012, 2.32, 2%, 0.32, 3%
Mar 4 2012, 2.28, 3%, 0.78, 3%
Mar 11 2012, 2.72, 2%, 0.28, 5%
Mar 18 2012, 2.76, 3%, 0.28, 5%
Mar 25 2012, 2.62, 2%, 0.30, 3%
Apr 1 2012, 2.80, 2%, 0.78, 3%
Apr 8 2012, 2.54, 3%, 0.32, 3%
Apr 15 2012, 2.64, 2%, 0.26, 5%
Apr 22 2012, 2.80, 2%, 0.30, 3%
Apr 29 2012, 2.82, 2%, 0.82, 3%
May 6 2012, 2.84, 2%, 0.58, 3%
May 13 2012, 2.92, 2%, 0.26, 5%
May 20 2012, 3.00, 3%, 0.28, 5%
May 27 2012, 3.08, 2%, 0.36, 3%
Jun 3 2012, 2.90, 2%, 0.64, 3%
Jun 10 2012, 3.06, 2%, 0.26, 5%
Jun 17 2012, 3.20, 2%, 0.30, 3%
Jun 24 2012, 3.34, 2%, 0.36, 3%
Jul 1 2012, 3.46, 2%, 0.84, 3%
Jul 8 2012, 3.24, 2%, 0.28, 5%
Jul 15 2012, 3.22, 3%, 0.32, 3%
Jul 22 2012, 2.96, 3%, 0.34, 3%
Jul 29 2012, 2.80, 3%, 0.96, 3%
Aug 5 2012, 2.76, 3%, 0.32, 3%
Aug 12 2012, 2.66, 3%, 0.32, 3%
Aug 19 2012, 2.50, 3%, 0.34, 3%
Aug 26 2012, 2.28, 3%, 0.94, 3%
Sep 2 2012, 2.22, 3%, 0.32, 3%
Sep 9 2012, 2.02, 3%, 0.28, 3%
Sep 16 2012, 2.00, 3%, 0.34, 3%