APN,ADDRESS,Date_Sale,Sale_Amount,Num_Bedrooms,BLKLOT
3570 101,566 SOUTH VAN NESS AVE #3,1/3/2012,"$425,500 ",2,3570101
3719 181,301 MISSION ST #22E,1/3/2012,"$1,160,000 ",2,3719181
8704 277,300 BERRY ST # 1612,1/3/2012,"$774,025 ",2,8704277
1836 032,1463 17TH AVE,1/4/2012,"$660,000 ",2,1836032
3594 079,3380 20TH ST 302,1/4/2012,"$450,000 ",2,3594079
1159 042,1944 MCALLISTER ST,1/5/2012,"$680,000 ",2,1159042
3794 274,170 KING ST #1127,1/5/2012,"$820,000 ",2,3794274
4720 080,15 REBECCA LN,1/5/2012,"$227,000 ",2,4720080
4991 681,110 OTTER COVE TERRACE,1/5/2012,"$476,000 ",2,4991681
7254 012,69 SPRINGFIELD DR,1/5/2012,"$640,000 ",2,7254012
1012 044,3716 SACRAMENTO ST,1/6/2012,"$1,365,000 ",2,1012044
1931 041,1609 12TH AVE,1/6/2012,"$470,000 ",2,1931041
3604 113,741 NOE ST,1/6/2012,"$945,000 ",2,3604113
5068 001A,46 WABASH TER,1/6/2012,"$475,000 ",2,5068001A
5672 028F,315 COLERIDGE ST,1/6/2012,"$850,000 ",2,5672028F
6239 012,242 RAYMOND AVE,1/6/2012,"$459,000 ",2,6239012
7517 057,5150 DIAMOND HEIGHTS BLVD 201B,1/6/2012,"$275,000 ",2,7517057
1215 065,350 BRODERICK ST UNIT 319,1/9/2012,"$720,000 ",2,1215065
5521 041,98 STONEMAN ST,1/9/2012,"$450,000 ",2,5521041
5521 042,96 STONEMAN ST,1/9/2012,"$699,000 ",2,5521042
8702 393,260 KING ST #1303,1/9/2012,"$860,000 ",2,8702393
0627 015,2151 LAGUNA ST 1,1/10/2012,"$1,400,000 ",2,627015
1062 062,166 PALM AVE #1,1/10/2012,"$655,000 ",2,1062062
3785 039,175 BLUXOME ST #110,1/10/2012,"$1,500 ",2,3785039
8702 146,250 KING ST #430,1/10/2012,"$707,000 ",2,8702146
1175 088,2001 MCALLISTER ST 202,1/11/2012,"$582,000 ",2,1175088
1333 048,195 25TH AVE 301,1/11/2012,"$725,000 ",2,1333048
3793 108,88 KING  #603,1/11/2012,"$952,000 ",2,3793108
6554 047,4124 26TH ST,1/11/2012,"$778,000 ",2,6554047
0638 066,2299 SACRAMENTO ST 10,1/12/2012,"$790,000 ",2,638066
1175 051,2001 MCALLISTER ST 115,1/12/2012,"$710,000 ",2,1175051
1453 062,322 22ND AVE #201,1/12/2012,"$719,000 ",2,1453062
3776 398,555 04TH ST #827,1/12/2012,"$850,000 ",2,3776398
6301 023,1030 SUNNYDALE AVE,1/12/2012,"$370,000 ",2,6301023
1734 050,1245 16TH AVE,1/13/2012,"$744,000 ",2,1734050
3722 300,188 MINNA ST 28F,1/13/2012,"$1,140,000 ",2,3722300
3978 081,451 KANSAS ST #448,1/13/2012,"$625,000 ",2,3978081
4106 156,989 20TH ST #469,1/13/2012,"$730,000 ",2,4106156
0275B117,900 BUSH ST,1/18/2012,"$512,000 ",2,0275B117
0279 049,1299 BUSH ST #603,1/19/2012,"$685,000 ",2,279049
0452T044F,900 NORTH POINT ST 631 MB36F,1/19/2012,"$208,000 ",2,0452T044F
0739 040,818 VAN NESS AVE #407,1/19/2012,"$680,000 ",2,739040
3719 070,301 MISSION ST #8E,1/19/2012,"$920,000 ",2,3719070
0128C026,1750 TAYLOR ST #0803,1/20/2012,"$1,900,000 ",2,0128C026
0219 041,1417 CLAY ST,1/20/2012,"$1,025,000 ",2,219041
0735 073,1148 EDDY ST A,1/20/2012,"$377,000 ",2,735073
1294 024,1572 SHRADER ST,1/20/2012,"$1,890,000 ",2,1294024
2778 065,829 CORBETT AVE #4,1/20/2012,"$1,300,000 ",2,2778065
3719 114,301 MISSION ST #14G,1/20/2012,"$1,130,000 ",2,3719114
5421 124,1780 BANCROFT #4207,1/23/2012,"$231,255 ",2,5421124
0742 037,750 VAN NESS 205,1/24/2012,"$480,000 ",2,742037
2031 004D,1753 18TH AVE,1/24/2012,"$588,000 ",2,2031004D
2653 009,236 CORBETT AVE,1/24/2012,"$809,900 ",2,2653009
0047C135,1080 CHESTNUT ST #009B,1/25/2012,"$750,000 ",2,0047C135
0732 105,1300 FILLMORE ST PH-1A,1/25/2012,"$554,100 ",2,732105
3719 294,301 MISSION ST #39E,1/25/2012,"$2,004,000 ",2,3719294
5555 009,20 MASSASOIT ST,1/25/2012,"$550,000 ",2,5555009
3054 060,547 LOS PALMOS DR,1/26/2012,"$1,025,000 ",2,3054060
0311 112,690 MARKET ST #2301,1/27/2012,"$1,340,000 ",2,311112
1692 105,855 LA PLAYA  461,1/27/2012,"$380,000 ",2,1692105
2629A060,455 UPPER TER #5,1/27/2012,"$820,637 ",2,2629A060
2854 017,145 GARDENSIDE DR 17,1/27/2012,"$565,000 ",2,2854017
3722 284,188 MINNA ST 26B,1/27/2012,"$2,000,000 ",2,3722284
0657 032,1800 SCOTT ST,1/31/2012,"$1,450,000 ",2,657032
3719 406,301 MISSION ST #602,1/31/2012,"$1,880,000 ",2,3719406
3774 255,200 BRANNAN ST #114,1/31/2012,"$205,720 ",2,3774255
3978 129,451 KANSAS ST #529,1/31/2012,"$625,000 ",2,3978129
5386 032,2022 KEITH ST,1/31/2012,"$231,600 ",2,5386032
0739 066,818 VAN NESS AVE #803,2/1/2012,"$972,350 ",2,739066
7053 003B,809 PLYMOUTH AVE,2/1/2012,"$315,000 ",2,7053003B
1553 011,557 10TH AVE,2/2/2012,"$1,300,000 ",2,1553011
5421 057,1740 BANCROFT ST #552,2/2/2012,"$263,803 ",2,5421057
0275B146,900 BUSH ST 814,2/3/2012,"$525,000 ",2,0275B146
0646 043,1635 CALIFORNIA ST #62,2/3/2012,"$649,000 ",2,646043
0739 056,818 VAN NESS AVE #607,2/3/2012,"$605,000 ",2,739056
1925 011,1680 19TH AVE,2/3/2012,"$512,000 ",2,1925011
2302 051,2206 48TH AVE,2/3/2012,"$600,000 ",2,2302051
6410 038,2 AMAZON AVE 301,2/6/2012,"$260,000 ",2,6410038
6604 038,647 DUNCAN ST,2/6/2012,"$700,000 ",2,6604038
1269 097,141 DOWNEY ST,2/8/2012,"$1,220,000 ",2,1269097
2022 027,1746 28TH AVE,2/8/2012,"$575,000 ",2,2022027
3092 043,489 JOOST AVE,2/8/2012,"$637,000 ",2,3092043
3559 020,246 SANCHEZ ST A,2/8/2012,"$875,000 ",2,3559020
0088 051,524 FILBERT ST,2/9/2012,"$715,000 ",2,88051
0719 090,238 OLIVE ST #502,2/9/2012,"$750,000 ",2,719090
1692 065,855 LA PLAYA  253,2/9/2012,"$360,000 ",2,1692065
3719 281,301 MISSION ST #37D,2/9/2012,"$2,750,000 ",2,3719281
3978 014,451 KANSAS ST #290,2/9/2012,"$660,000 ",2,3978014
5384A001,1 ROBBLEE AVE,2/9/2012,"$310,000 ",2,5384A001
5809 009,742 ANDOVER ST,2/9/2012,"$550,000 ",2,5809009
0599 300,1840 WASHINGTON ST #604,2/10/2012,"$949,050 ",2,599300
1333 050,195 25TH AVE 401,2/10/2012,"$820,000 ",2,1333050
1874 034,1570 29TH AVE,2/10/2012,"$608,000 ",2,1874034
2306 009D,2263 43RD AVE,2/10/2012,"$571,000 ",2,2306009D
6550 063,3887 25TH ST,2/10/2012,"$1,050,000 ",2,6550063
8708 159,235 BERRY ST #414,2/10/2012,"$930,000 ",2,8708159
0122 085,1177 UNION ST,2/13/2012,"$865,000 ",2,122085
0078 010,454 GREENWICH ST,2/14/2012,"$1,680,000 ",2,78010
3747 072,300 BEALE ST 602,2/14/2012,"$1,550,000 ",2,3747072
7126A200,8300 OCEANVIEW TER. #407,2/14/2012,"$280,000 ",2,7126A200
8702 311,260 KING ST #419,2/14/2012,"$498,000 ",2,8702311
1361 062,122 02ND AVE,2/15/2012,"$700,000 ",2,1361062
3789 715,229 BRANNAN ST #11J,2/15/2012,"$92,500 ",2,3789715
3789 718,229 BRANNAN ST #12D,2/15/2012,"$92,500 ",2,3789718
0975 026,3042 JACKSON ST #3,2/16/2012,"$955,000 ",2,975026
1518 041,520 27TH AVE,2/16/2012,"$540,000 ",2,1518041
3771 033,501 BEALE ST # 7B,2/16/2012,"$855,000 ",2,3771033
0210A068,946 STOCKTON ST 14B,2/17/2012,"$385,000 ",2,0210A068
1001 051,2950 CLAY ST 302,2/17/2012,"$873,000 ",2,1001051
3566 059,3684 17TH ST 101,2/17/2012,"$844,000 ",2,3566059
3776 400,555 04TH ST #829,2/17/2012,"$827,000 ",2,3776400
3789 835,239 BRANNAN ST #15D,2/17/2012,"$1,015,000 ",2,3789835
4106 122,801 INDIANA ST #260,2/17/2012,"$755,000 ",2,4106122
4106 134,801 INDIANA ST #361,2/17/2012,"$799,000 ",2,4106134
5421 063,1740 BANCROFT ST #4203,2/17/2012,"$231,255 ",2,5421063
5421 085,1780 BANCROFT ST # 222,2/17/2012,"$231,332 ",2,5421085
1269 052A,267 DOWNEY ST,2/21/2012,"$1,570,000 ",2,1269052A
4224 079,1000 PENNSYLVANIA AVE #16,2/21/2012,"$482,000 ",2,4224079
0578 070,2090 PACIFIC AVE 501,2/22/2012,"$1,250,000 ",2,578070
0793 089,525 GOUGH ST UNIT 203,2/22/2012,"$805,000 ",2,793089
1760 055,1334 06TH AVE,2/22/2012,"$810,000 ",2,1760055
4104 075,647 PENNSYLVANIA AVE #A,2/22/2012,"$599,000 ",2,4104075
5615 091,3241 - 3243 MISSION ST 2,2/22/2012,"$470,000 ",2,5615091
0452T044E,900 NORTH POINT ST 631 MB36E,2/23/2012,"$208,000 ",2,0452T044E
1692 108,855 LA PLAYA  466,2/23/2012,"$425,500 ",2,1692108
3544 119,8 LANDERS ST #404,2/23/2012,"$970,000 ",2,3544119
3978 141,451 KANSAS ST #558,2/23/2012,"$690,000 ",2,3978141
4080 109,2125 BRYANT ST #312,2/23/2012,"$748,000 ",2,4080109
0732 105,1300 FILLMORE ST PH-1A,2/24/2012,"$760,000 ",2,732105
0768 036,720 GOUGH ST 26,2/24/2012,"$489,000 ",2,768036
0768 057,720 GOUGH ST 49,2/24/2012,"$640,000 ",2,768057
1511 053,565 33RD AVE,2/24/2012,"$1,490,000 ",2,1511053
7126A111,8400 OCEANVIEW TER. #203,2/24/2012,"$265,000 ",2,7126A111
7519 005,1422 DOUGLASS ST,2/24/2012,"$775,000 ",2,7519005
3719 112,301 MISSION ST #14E,2/27/2012,"$1,000,000 ",2,3719112
4266 020,2876 25TH ST,2/27/2012,"$420,000 ",2,4266020
0167 049,49 FRONT ST,2/28/2012,"$1,339,000 ",2,167049
1880 035,1548 35TH AVE,2/28/2012,"$799,000 ",2,1880035
2102 026,1934 33RD AVE,2/28/2012,"$580,000 ",2,2102026
6953 046,62 WANDA ST,2/28/2012,"$550,000 ",2,6953046
0534 039,3047 FILLMORE ST,2/29/2012,"$600,000 ",2,534039
0577 030,1998 PACIFIC AVE 204,2/29/2012,"$845,000 ",2,577030
0738 071,851 VAN NESS AVE #400,2/29/2012,"$520,000 ",2,738071
2622 086,3787 16TH ST,2/29/2012,"$1,225,000 ",2,2622086
2854 044,145 GARDENSIDE DR 9,2/29/2012,"$531,600 ",2,2854044
3150 004,330 CAPISTRANO AVE,2/29/2012,"$551,000 ",2,3150004
3719 157,301 MISSION ST #19F,2/29/2012,"$1,725,000 ",2,3719157
3776 241,555 04TH ST #517,2/29/2012,"$769,000 ",2,3776241
3794 241,170 KING ST #930,2/29/2012,"$710,000 ",2,3794241
5421 029,1740 BANCROFT ST #223,2/29/2012,"$231,497 ",2,5421029
1081 049,2529 POST ST,3/1/2012,"$586,000 ",2,1081049
2751 007,4022 21ST ST,3/1/2012,"$1,225,000 ",2,2751007
5722 011,660 MOULTRIE ST,3/1/2012,"$620,000 ",2,5722011
0222A038,1170 SACRAMENTO ST 11B,3/2/2012,"$1,800,000 ",2,0222A038
0690 043,1 DANIEL BURNHAM CT 224,3/2/2012,"$535,000 ",2,690043
1213 028,2176 FELL ST,3/2/2012,"$1,079,000 ",2,1213028
7009 056,483 BRIGHT ST,3/2/2012,"$575,000 ",2,7009056
7126A331,8100 OCEANVIEW TER. #208,3/2/2012,"$275,000 ",2,7126A331
8708 103,255 BERRY ST #706,3/2/2012,"$835,706 ",2,8708103
3120 048,327 HEARST AVE,3/5/2012,"$635,000 ",2,3120048
4224 079,1000 PENNSYLVANIA AVE #16,3/5/2012,"$595,000 ",2,4224079
5421 125,1780 BANCROFT #4208,3/5/2012,"$231,255 ",2,5421125
0542 061,1990 GREEN ST 401,3/6/2012,"$1,250,000 ",2,542061
3719 090,301 MISSION ST #10J,3/6/2012,"$939,000 ",2,3719090
1082 019,2609 POST ST,3/7/2012,"$879,000 ",2,1082019
3789 679,229 BRANNAN ST #6-C,3/7/2012,"$1,300,000 ",2,3789679
0599 304,1840 WASHINGTON ST #704,3/8/2012,"$1,039,000 ",2,599304
1501 039,530 44TH AVE,3/8/2012,"$720,000 ",2,1501039
3520 084,360 10TH ST #5,3/8/2012,"$519,000 ",2,3520084
3747 054,300 BEALE ST #406,3/8/2012,"$1,450,000 ",2,3747054
6561 003,1214 DIAMOND ST,3/8/2012,"$1,170,000 ",2,6561003
7517 148,950 DUNCAN ST 208E,3/8/2012,"$435,000 ",2,7517148
0071 041,1182 GREENWICH ST,3/9/2012,"$775,000 ",2,71041
1352 072,85 6TH AVE,3/9/2012,"$985,000 ",2,1352072
1651 063,795 08TH AVE 404,3/9/2012,"$475,000 ",2,1651063
2807 050,4483 23RD ST #2,3/9/2012,"$618,000 ",2,2807050
3719 053,301 MISSION ST #6F,3/9/2012,"$1,250,000 ",2,3719053
3719 126,301 MISSION ST #16A,3/12/2012,"$1,275,000 ",2,3719126
4991 368,101 CRESCENT WAY UNIT 2207,3/12/2012,"$245,000 ",2,4991368
3719 224,301 MISSION ST #28A,3/13/2012,"$1,500,000 ",2,3719224
0125 047,1101 GREEN ST #703,3/14/2012,"$1,370,700 ",2,125047
6405 008,960 NAPLES ST,3/14/2012,"$415,000 ",2,6405008
8708 131,235 BERRY ST #304,3/14/2012,"$625,000 ",2,8708131
0166 068,733 FRONT ST #605,3/15/2012,"$1,875,000 ",2,166068
0580 039,2200 PACIFIC AVE 1C,3/15/2012,"$1,200,000 ",2,580039
1784 001N,1363 29TH AVE,3/15/2012,"$780,000 ",2,1784001N
2086 002B,1937 48TH AVE,3/15/2012,"$425,000 ",2,2086002B
7138 034,175 SADOWA ST,3/15/2012,"$395,000 ",2,7138034
8704 145,300 BERRY ST # 804,3/15/2012,"$660,000 ",2,8704145
1215 032,0350 BRODERICK ST UNIT 213,3/16/2012,"$625,000 ",2,1215032
1276 022,230 GRATTAN ST 1,3/16/2012,"$650,000 ",2,1276022
3752 447,821 FOLSOM ST #404,3/16/2012,"$715,000 ",2,3752447
5843 027,400 ALEMANY BL #9,3/16/2012,"$265,000 ",2,5843027
0567 119,1998 BROADWAY  1607,3/19/2012,"$899,000 ",2,567119
3719 262,301 MISSION ST #34C,3/19/2012,"$2,515,000 ",2,3719262
3744 027,75 FOLSOM ST 1001,3/19/2012,"$975,000 ",2,3744027
0049 020,880 CHESTNUT ST,3/20/2012,"$985,000 ",2,49020
0662 054,1942 BUCHANAN ST,3/20/2012,"$900,000 ",2,662054
3719 394,301 MISSION ST #402,3/20/2012,"$1,850,000 ",2,3719394
4991 467,501 CRESCENT WAY #5406,3/20/2012,"$301,000 ",2,4991467
7126A273,8200 OCEANVIEW TER. #316,3/20/2012,"$254,000 ",2,7126A273
8702 052,250 KING ST #802,3/20/2012,"$811,000 ",2,8702052
8704 239,300 BERRY ST # 1313,3/20/2012,"$760,000 ",2,8704239
0739 053,818 VAN NESS AVE #604,3/21/2012,"$820,000 ",2,739053
0096 049,2354 LARKIN ST,3/22/2012,"$1,460,000 ",2,96049
0732 088,1310 FILLMORE ST #804,3/22/2012,"$375,000 ",2,732088
0738 051,851 VAN NESS AVE #103,3/22/2012,"$450,000 ",2,738051
1715 062,1277 35TH AVE,3/22/2012,"$555,000 ",2,1715062
3745 264,301 MAIN ST UNIT 19H,3/22/2012,"$1,230,500 ",2,3745264
3771 098,501 BEALE ST # 16G,3/22/2012,"$825,000 ",2,3771098
0510 061,286 MOULTON ST,3/23/2012,"$710,000 ",2,510061
0599 302,1840 WASHINGTON ST #702,3/23/2012,"$1,122,100 ",2,599302
2649 062,4129 17TH ST,3/23/2012,"$789,000 ",2,2649062
3587 123,3620 19TH ST #22,3/23/2012,"$725,000 ",2,3587123
3719 023,301 MISSION STREET #3D,3/23/2012,"$720,000 ",2,3719023
3745 229,301 MAIN ST UNIT 15E,3/23/2012,"$880,000 ",2,3745229
3793 182,88 KING ST #918,3/23/2012,"$1,120,000 ",2,3793182
4106 158,850 MINNESOTA ST #556,3/23/2012,"$940,000 ",2,4106158
6601 058,208 28TH STREET #201,3/23/2012,"$889,000 ",2,6601058
0739 061,818 VAN NESS AVE #705,3/26/2012,"$10,000 ",2,739061
1174 031,30 ATALAYA TER,3/26/2012,"$765,000 ",2,1174031
5612 004,12 ELSIE ST,3/26/2012,"$850,000 ",2,5612004
7126A106,8300 OCEANVIEW TER. #114,3/26/2012,"$260,000 ",2,7126A106
0919 014,2165 BEACH ST 5,3/27/2012,"$1,000,000 ",2,919014
1012 042,3733 CLAY ST,3/27/2012,"$2,149,000 ",2,1012042
1843 030,1462 11TH AVE,3/27/2012,"$821,000 ",2,1843030
1434 055,309 02ND AVE #3,3/28/2012,"$980,000 ",2,1434055
1651 066,795 8TH AVE #501,3/28/2012,"$590,000 ",2,1651066
1706 045,4335 LINCOLN WAY,3/28/2012,"$461,000 ",2,1706045
3719 325,301 MISSION ST #45F,3/28/2012,"$1,600,000 ",2,3719325
0685 066,"1600 WEBSTER ST, #201",3/29/2012,"$910,000 ",2,685066
1025 041,2800 CALIFORNIA ST 202,3/29/2012,"$650,000 ",2,1025041
4106 133,801 INDIANA ST #360,3/29/2012,"$780,000 ",2,4106133
6741 031,51 SURREY ST,3/29/2012,"$1,500,000 ",2,6741031
7536 014,662 29TH ST,3/29/2012,"$2,200,000 ",2,7536014
0599 296,1840 WASHINGTON ST #504,3/30/2012,"$969,000 ",2,599296
0646 036,1635 CALIFORNIA ST #51,3/30/2012,"$659,000 ",2,646036
0689 156,1483 SUTTER ST 1006,3/30/2012,"$670,000 ",2,689156
1040 056,324 ARGUELLO BLVD #2,3/30/2012,"$788,000 ",2,1040056
1692 112,825 LA PLAYA  224,3/30/2012,"$415,000 ",2,1692112
1890 002,1519 44TH AVE,3/30/2012,"$410,000 ",2,1890002
2072 026,1886 36TH AVE,3/30/2012,"$695,000 ",2,2072026
2196 013,2159 21ST AVE,3/30/2012,"$550,000 ",2,2196013
3719 143,301 MISSION ST #17J,3/30/2012,"$1,002,670 ",2,3719143
3744 052,75 FOLSOM ST 1403,3/30/2012,"$2,100,000 ",2,3744052
3748 111,333 01ST ST #N1104,3/30/2012,"$799,999 ",2,3748111
3767 154,201 HARRISON ST 521,3/30/2012,"$550,000 ",2,3767154
3774 435,41 FEDERAL ST #21,3/30/2012,"$1,135,000 ",2,3774435
3776 428,555 04TH ST #909,3/30/2012,"$575,300 ",2,3776428
4106 132,801 INDIANA ST #359,3/30/2012,"$784,000 ",2,4106132
5335A126,259 BAY VIEW CIR,3/30/2012,"$350,000 ",2,5335A126
5461 029,79 CARR ST,3/30/2012,"$258,000 ",2,5461029
6423 109,1504 BIRCHWOOD CT,3/30/2012,"$200,000 ",2,6423109
6601 011,238 28TH ST,3/30/2012,"$1,200,000 ",2,6601011
7126A178,8300 OCEANVIEW TER. #314,3/30/2012,"$249,000 ",2,7126A178
0599 297,1840 WASHINGTON ST #601,4/2/2012,"$1,014,300 ",2,599297
0599 301,1840 WASHINGTON ST #701,4/2/2012,"$1,053,500 ",2,599301
2138 006B,2075 18TH AVE,4/2/2012,"$749,000 ",2,2138006B
6249 026,2428 BAY SHORE BLVD UNIT 2,4/2/2012,"$188,000 ",2,6249026
6732 055,257 SURREY ST,4/2/2012,"$1,267,500 ",2,6732055
0738 062,851 VAN NESS AVE #207,4/3/2012,"$512,000 ",2,738062
0762 075,601 VAN NESS AVE #762,4/3/2012,"$342,000 ",2,762075
1681 008B,822 39TH AVE,4/3/2012,"$750,000 ",2,1681008B
2763 049,767 CORBETT AVE #10,4/3/2012,"$744,000 ",2,2763049
3719 276,301 MISSION ST #36E,4/3/2012,"$1,950,000 ",2,3719276
3722 270,188 MINNA ST 23F,4/3/2012,"$1,588,000 ",2,3722270
6720 076,3918 MISSION ST UNIT 4,4/4/2012,"$539,000 ",2,6720076
1439 052,363 07TH AVE,4/5/2012,"$540,000 ",2,1439052
3281 049,1920 OCEAN AVE 2G,4/5/2012,"$350,000 ",2,3281049
6601 060,208 28TH STREET #203,4/5/2012,"$849,000 ",2,6601060
6621 019,568 29TH ST,4/5/2012,"$1,014,000 ",2,6621019
8708 101,255 BERRY ST #704,4/5/2012,"$899,000 ",2,8708101
8708 122,235 BERRY ST #112,4/5/2012,"$840,000 ",2,8708122
0120 035,44 MACONDRAY LN 2W,4/6/2012,"$865,000 ",2,120035
0696 058,1388 GOUGH ST 703,4/6/2012,"$745,000 ",2,696058
0998 033,256 PRESIDIO AVE 3,4/6/2012,"$762,000 ",2,998033
3719 264,301 MISSION ST #34E,4/6/2012,"$1,880,000 ",2,3719264
4283B044,76 LITTLEFIELD TER,4/6/2012,"$515,000 ",2,4283B044
5421 095,1780 BANCROFT ST #324,4/6/2012,"$263,620 ",2,5421095
6489 013G,273 LOWELL ST,4/6/2012,"$505,000 ",2,6489013G
6601 059,208 28TH STREET #202,4/6/2012,"$895,000 ",2,6601059
0073 027,2121 TAYLOR ST 3,4/10/2012,"$875,000 ",2,73027
0288 090,333 BUSH ST 3908,4/10/2012,"$1,185,000 ",2,288090
0928 033,2230 FRANCISCO ST 102,4/10/2012,"$775,000 ",2,928033
3765 050,425  1ST ST #906,4/10/2012,"$877,000 ",2,3765050
4106 136,801 INDIANA ST #363,4/10/2012,"$775,000 ",2,4106136
5054A166,29 MEGAN DR,4/10/2012,"$427,000 ",2,5054A166
7062 034,171 CAINE AVE,4/10/2012,"$390,000 ",2,7062034
0597 066,1810 POLK ST #12,4/11/2012,"$795,000 ",2,597066
3719 257,301 MISSION ST #33D,4/11/2012,"$2,311,603 ",2,3719257
1244 050,1265C MASONIC AVE,4/12/2012,"$1,030,000 ",2,1244050
3719 072,301 MISSION ST #8G,4/12/2012,"$1,010,000 ",2,3719072
3719 246,301 MISSION ST #31E,4/12/2012,"$1,800,000 ",2,3719246
3776 178,555 04TH ST #404,4/12/2012,"$811,100 ",2,3776178
7126A111,8400 OCEANVIEW TER. #203,4/12/2012,"$273,000 ",2,7126A111
0078 074,373 LOMBARD ST 402,4/13/2012,"$910,000 ",2,78074
0220 056,1250 LEAVENWORTH ST #3,4/13/2012,"$1,649,000 ",2,220056
1458 045,401 26TH AVE,4/13/2012,"$495,000 ",2,1458045
