APN,ADDRESS,Date_Sale,Sale_Amount,Num_Bedrooms,BLKLOT
3704 160,418 JESSIE ST #504A,8/21/2012,"$16,600,000 ",2,3704160
3704 166,418 JESSIE ST #703A,8/21/2012,"$16,600,000 ",2,3704166
3704 169,418 JESSIE ST #803A,8/21/2012,"$16,600,000 ",2,3704169
3722 316,188 MINNA ST 31D,8/21/2012,"$3,100,000 ",2,3722316
8708 051,255 BERRY ST #403,8/21/2012,"$910,000 ",2,8708051
8720 121,480 MISSION BAY BLVD NORTH #105,8/21/2012,"$926,000 ",2,8720121
8720 305,480 MISSION BAY BLVD NORTH #609,8/21/2012,"$849,000 ",2,8720305
8720 361,420 MISSION BAY BLVD NORTH #808,8/21/2012,"$916,000 ",2,8720361
8720 389,480 MISSION BAY BLVD NORTH #918,8/21/2012,"$969,000 ",2,8720389
2623 173,4150 17TH ST 6,8/22/2012,"$940,000 ",2,2623173
6272 042,4851 MISSION ST #3,8/22/2012,"$470,000 ",2,6272042
6692 069,80A RICHLAND AVE,8/22/2012,"$781,000 ",2,6692069
8720 256,420 MISSION BAY BLVD NORTH #507,8/22/2012,"$712,950 ",2,8720256
8720 257,420 MISSION BAY BLVD NORTH #508,8/22/2012,"$849,000 ",2,8720257
8720 263,480 MISSION BAY BLVD NORTH #514,8/22/2012,"$899,000 ",2,8720263
0777 046,1110 FULTON ST,8/23/2012,"$1,100,000 ",2,777046
1175 157,2001 MCALLISTER ST 327,8/23/2012,"$730,000 ",2,1175157
3719 217,301 MISSION ST #26F,8/23/2012,"$1,500,000 ",2,3719217
3789 793,239 BRANNAN ST #7E,8/23/2012,"$1,120,000 ",2,3789793
5431B037,5800 3RD ST #1220,8/23/2012,"$419,000 ",2,5431B037
5700 015,384 NEVADA ST,8/23/2012,"$525,000 ",2,5700015
8720 252,420 MISSION BAY BLVD NORTH #503,8/23/2012,"$699,000 ",2,8720252
8720 259,420 MISSION BAY BLVD NORTH #510,8/23/2012,"$872,030 ",2,8720259
8720 445,480 MISSION BAY BLVD NORTH #1608,8/23/2012,"$1,222,000 ",2,8720445
0224 067,10 MILLER PL 1802,8/24/2012,"$1,225,000 ",2,224067
0452T044G,900 NORTH POINT ST 631 MB36G,8/24/2012,"$208,000 ",2,0452T044G
1219 076,1136 PAGE ST,8/24/2012,"$985,000 ",2,1219076
3544 112,8 LANDERS ST #204,8/24/2012,"$1,010,001 ",2,3544112
5843 028,400 ALEMANY BL #10,8/24/2012,"$335,000 ",2,5843028
6423 217,181 STONERIDGE LN,8/24/2012,"$342,000 ",2,6423217
7126A236,8200 OCEANVIEW TER. #203,8/24/2012,"$261,000 ",2,7126A236
8702 292,250 KING ST #864,8/24/2012,"$799,000 ",2,8702292
8720 172,420 MISSION BAY BLVD NORTH #311,8/24/2012,"$869,000 ",2,8720172
8720 269,480 MISSION BAY BLVD NORTH #520,8/24/2012,"$867,000 ",2,8720269
8720 376,420 MISSION BAY BLVD NORTH #905,8/24/2012,"$740,000 ",2,8720376
8720 444,480 MISSION BAY BLVD NORTH #1607,8/24/2012,"$1,047,600 ",2,8720444
0451 179,1050 NORTH POINT ST #0702,8/27/2012,"$800,000 ",2,451179
3719 247,301 MISSION ST #31F,8/27/2012,"$1,630,000 ",2,3719247
8720 205,420 MISSION BAY BLVD NORTH #403,8/27/2012,"$694,000 ",2,8720205
0171 034,550 DAVIS ST #17,8/28/2012,"$1,195,000 ",2,171034
0243 082,850 POWELL ST #502,8/28/2012,"$995,000 ",2,243082
0830 047,444 A OAK ST,8/28/2012,"$1,250,000 ",2,830047
3735 118,246 02ND ST #1103,8/28/2012,"$902,400 ",2,3735118
3978 035,451 KANSAS ST #366,8/28/2012,"$320,000 ",2,3978035
4162 091,999 WISCONSIN ST #7,8/28/2012,"$483,000 ",2,4162091
7163 030,156 GOETHE ST,8/28/2012,"$520,000 ",2,7163030
8720 271,480 MISSION BAY BLVD NORTH #522,8/28/2012,"$741,000 ",2,8720271
8720 364,480 MISSION BAY BLVD NORTH #811,8/28/2012,"$937,000 ",2,8720364
0288 067,333 BUSH ST 3701,8/29/2012,"$1,150,000 ",2,288067
8720 251,420 MISSION BAY BLVD NORTH #502,8/29/2012,"$879,000 ",2,8720251
8720 261,480 MISSION BAY BLVD NORTH #512,8/29/2012,"$874,000 ",2,8720261
8720 353,480 MISSION BAY BLVD NORTH #718,8/29/2012,"$916,000 ",2,8720353
0128C005,1750 TAYLOR ST #0302,8/31/2012,"$1,245,000 ",2,0128C005
0275B101,900 BUSH ST 515,9/4/2012,"$535,000 ",2,0275B101
6524 045,3166 26TH ST #3,9/4/2012,"$422,000 ",2,6524045
0678 101,2060 SUTTER ST 506,9/5/2012,"$880,000 ",2,678101
0713 035,1200 GOUGH ST 2A,9/5/2012,"$689,000 ",2,713035
3546 042,419 14TH ST,9/5/2012,"$1,050,000 ",2,3546042
3706 238,765 MARKET ST #036F,9/5/2012,"$5,100,000 ",2,3706238
3719 432,301 MISSION ST #1004,9/5/2012,"$1,595,000 ",2,3719432
3722 327,188 MINNA ST 33C,9/5/2012,"$1,750,000 ",2,3722327
3765 103,425 1ST ST #1603,9/5/2012,"$1,090,000 ",2,3765103
5335A113,167 BAY VIEW CIR,9/5/2012,"$380,000 ",2,5335A113
8720 373,420 MISSION BAY BLVD NORTH #902,9/5/2012,"$1,060,000 ",2,8720373
8720 424,420 MISSION BAY BLVD NORTH #1403,9/5/2012,"$1,115,000 ",2,8720424
4216 070,2250 24TH ST #219,9/6/2012,"$405,000 ",2,4216070
6346 001,600 LONDON ST,9/6/2012,"$365,000 ",2,6346001
8720 214,480 MISSION BAY BLVD NORTH #412,9/6/2012,"$842,900 ",2,8720214
0497 061,3036 GOUGH ST,9/7/2012,"$119,000 ",2,497061
0497 062,3038 GOUGH ST,9/7/2012,"$1,190,000 ",2,497062
0501 061,1380 GREENWICH ST 305,9/7/2012,"$655,000 ",2,501061
0567 050,1998 BROADWAY  601,9/7/2012,"$755,000 ",2,567050
0867 043,423 WALLER ST 1,9/7/2012,"$500,000 ",2,867043
2049B019,855 PACHECO ST,9/7/2012,"$967,000 ",2,2049B019
3622 051A,521 HILL ST,9/7/2012,"$1,805,000 ",2,3622051A
3719 320,301 MISSION ST #45A,9/7/2012,"$1,720,000 ",2,3719320
3719 321,301 MISSION ST #45B,9/7/2012,"$2,730,000 ",2,3719321
3765 394,425 1ST ST #5602,9/7/2012,"$1,550,000 ",2,3765394
8720 362,480 MISSION BAY BLVD NORTH #809,9/7/2012,"$903,500 ",2,8720362
3719 082,301 MISSION ST #9J,9/10/2012,"$910,000 ",2,3719082
8720 366,480 MISSION BAY BLVD NORTH #813,9/10/2012,"$699,370 ",2,8720366
0071 042,1184 GREENWICH ST,9/11/2012,"$939,000 ",2,71042
0597 037,1591 JACKSON ST 308,9/11/2012,"$945,000 ",2,597037
3576 130,3375 17TH ST ST #202,9/11/2012,"$960,000 ",2,3576130
3631 037,981 DOLORES ST,9/11/2012,"$965,000 ",2,3631037
3771 107,501 BEALE ST # 18B,9/11/2012,"$850,000 ",2,3771107
3789 653,229 BRANNAN ST #2E,9/11/2012,"$1,130,000 ",2,3789653
4069 043,537 WISCONSIN ST,9/11/2012,"$777,000 ",2,4069043
0452T044I,900 NORTH POINT ST 631 MB36I,9/12/2012,"$208,000 ",2,0452T044I
0943 023,2657 GREENWICH ST,9/12/2012,"$1,025,000 ",2,943023
3637 019B,792 CAPP ST,9/12/2012,"$510,000 ",2,3637019B
8720 379,420 MISSION BAY BLVD NORTH #908,9/12/2012,"$936,000 ",2,8720379
8720 381,480 MISSION BAY BLVD NORTH #910,9/12/2012,"$926,000 ",2,8720381
4086 029,2278 BRYANT ST,9/13/2012,"$810,000 ",2,4086029
8708 192,235 BERRY ST #611,9/13/2012,"$988,000 ",2,8708192
0476 010,1060 FRANCISCO ST,9/14/2012,"$2,250,000 ",2,476010
0976 051,2919 PACIFIC AVE 5,9/14/2012,"$975,000 ",2,976051
2718A020,3 BURNETT NORTH AVE #4,9/14/2012,"$830,000 ",2,2718A020
3704 120,410 JESSIE ST #201,9/14/2012,"$869,000 ",2,3704120
3719 352,301 MISSION ST #51A,9/14/2012,"$3,585,000 ",2,3719352
3722 349,188 MINNA ST 37B,9/14/2012,"$2,300,000 ",2,3722349
5520 027,16 MONTEZUMA ST,9/14/2012,"$1,600,001 ",2,5520027
6745 083,53 WILDER ST #304,9/14/2012,"$890,000 ",2,6745083
7126A201,8300 OCEANVIEW TER. #408,9/14/2012,"$388,000 ",2,7126A201
8720 342,420 MISSION BAY BLVD NORTH #707,9/14/2012,"$912,000 ",2,8720342
8720 400,420 MISSION BAY BLVD NORTH #1103,9/14/2012,"$1,052,000 ",2,8720400
8720 420,480 MISSION BAY BLVD NORTH #1307,9/14/2012,"$1,018,500 ",2,8720420
3765 404,425 1ST ST #5804,9/17/2012,"$2,250,000 ",2,3765404
0452T045G,900 NORTH POINT ST 632 MB37G,9/18/2012,"$208,000 ",2,0452T045G
1842 049,1405 11TH AVE,9/18/2012,"$783,000 ",2,1842049
3706 237,765 MARKET ST #036E,9/18/2012,"$1,950,000 ",2,3706237
3719 044,301 MISSION ST #5F,9/18/2012,"$1,435,000 ",2,3719044
3719 271,301 MISSION ST #35F,9/18/2012,"$1,749,000 ",2,3719271
8720 412,480 MISSION BAY BLVD NORTH #1207,9/18/2012,"$1,020,000 ",2,8720412
8720 416,420 MISSION BAY BLVD NORTH #1303,9/18/2012,"$1,071,850 ",2,8720416
0191 036,939 JACKSON ST #201,9/19/2012,"$780,000 ",2,191036
2828 001D,911 ELIZABETH ST,9/19/2012,"$1,149,000 ",2,2828001D
3793 089,88 KING ST #509,9/19/2012,"$908,000 ",2,3793089
8702 110,250 KING ST #1318,9/19/2012,"$760,000 ",2,8702110
8720 372,420 MISSION BAY BLVD NORTH #901,9/19/2012,"$959,330 ",2,8720372
8720 388,480 MISSION BAY BLVD NORTH #917,9/19/2012,"$794,850 ",2,8720388
8720 408,420 MISSION BAY BLVD NORTH #1203,9/19/2012,"$1,128,000 ",2,8720408
8720 428,480 MISSION BAY BLVD NORTH #1407,9/19/2012,"$1,040,000 ",2,8720428
8720 432,420 MISSION BAY BLVD NORTH #1503,9/19/2012,"$1,091,250 ",2,8720432
0689 175,1483 SUTTER ST 1404,9/20/2012,"$828,000 ",2,689175
2641 031,293 EDGEWOOD AVE,9/20/2012,"$1,350,000 ",2,2641031
3751 317,300 03RD ST 905,9/20/2012,"$799,000 ",2,3751317
3754 084,155 HARRIET ST #7,9/20/2012,"$555,000 ",2,3754084
3765 167,425 1ST ST #2403,9/20/2012,"$1,120,000 ",2,3765167
6618 042,200 29TH ST #3,9/20/2012,"$945,000 ",2,6618042
8720 170,420 MISSION BAY BLVD NORTH #309,9/20/2012,"$823,530 ",2,8720170
8720 175,480 MISSION BAY BLVD NORTH #314,9/20/2012,"$935,000 ",2,8720175
8720 314,480 MISSION BAY BLVD NORTH #618,9/20/2012,"$856,510 ",2,8720314
0606 043,2544 WASHINGTON ST A,9/21/2012,"$350,000 ",2,606043
0678 051,2040 SUTTER ST 307,9/21/2012,"$825,000 ",2,678051
1158 046,749 BAKER ST,9/21/2012,"$803,000 ",2,1158046
2649 007A,44 DIAMOND ST,9/21/2012,"$1,430,000 ",2,2649007A
5981 034,120 BURROWS ST 2,9/21/2012,"$295,000 ",2,5981034
8720 380,480 MISSION BAY BLVD NORTH #909,9/21/2012,"$905,000 ",2,8720380
8720 393,420 MISSION BAY BLVD NORTH #1004,9/21/2012,"$1,324,000 ",2,8720393
8720 429,480 MISSION BAY BLVD NORTH #1408,9/21/2012,"$1,288,000 ",2,8720429
8720 436,480 MISSION BAY BLVD NORTH #1507,9/24/2012,"$1,018,500 ",2,8720436
0689 108,1483 SUTTER ST 704,9/25/2012,"$818,000 ",2,689108
1692 079,855 LA PLAYA  351,9/25/2012,"$495,500 ",2,1692079
1895 044,4225 LAWTON ST,9/25/2012,"$627,000 ",2,1895044
8720 100,325 CHINA BASIN ST #607,9/25/2012,"$1,148,000 ",2,8720100
8720 308,480 MISSION BAY BLVD NORTH #612,9/25/2012,"$879,000 ",2,8720308
8720 354,420 MISSION BAY BLVD NORTH #801,9/25/2012,"$950,000 ",2,8720354
8720 431,420 MISSION BAY BLVD NORTH #1502,9/25/2012,"$1,400,000 ",2,8720431
0696 068,1388 GOUGH ST 807,9/26/2012,"$715,000 ",2,696068
3605 049,366 LIBERTY ST,9/26/2012,"$3,090,000 ",2,3605049
3719 396,301 MISSION ST #404,9/26/2012,"$1,500,000 ",2,3719396
3776 428,555 04TH ST #909,9/26/2012,"$732,500 ",2,3776428
8720 347,480 MISSION BAY BLVD NORTH #712,9/26/2012,"$925,000 ",2,8720347
8720 415,420 MISSION BAY BLVD NORTH #1302,9/26/2012,"$1,380,000 ",2,8720415
8720 421,480 MISSION BAY BLVD NORTH #1308,9/26/2012,"$1,277,000 ",2,8720421
3776 419,555 04TH ST #900,9/27/2012,"$850,000 ",2,3776419
4268 040,2964 25TH ST #301,10/1/2012,"$650,000 ",2,4268040
5676 027,333 ELSIE ST,10/1/2012,"$800,000 ",2,5676027
8702 139,250 KING ST #1616,10/1/2012,"$1,405,000 ",2,8702139
8720 215,480 MISSION BAY BLVD NORTH #413,10/1/2012,"$859,000 ",2,8720215
8720 224,480 MISSION BAY BLVD NORTH #422,10/1/2012,"$735,000 ",2,8720224
0501 045,1380 GREENWICH ST 111,10/2/2012,"$810,000 ",2,501045
0696 090,1388 GOUGH ST 1108,10/2/2012,"$900,000 ",2,696090
8720 216,480 MISSION BAY BLVD NORTH #414,10/2/2012,"$921,000 ",2,8720216
2768 044,404 DIAMOND ST,10/3/2012,"$815,000 ",2,2768044
3719 045,301 MISSION ST #5G,10/3/2012,"$1,010,000 ",2,3719045
3719 288,301 MISSION ST #38E,10/3/2012,"$2,288,000 ",2,3719288
5637 019,681 PERALTA AVE,10/3/2012,"$780,000 ",2,5637019
6596 044,199 TIFFANY AVE #303,10/3/2012,"$460,000 ",2,6596044
8720 258,420 MISSION BAY BLVD NORTH #509,10/3/2012,"$833,500 ",2,8720258
8720 260,420 MISSIONBAY BLVD NORTH #511,10/3/2012,"$878,000 ",2,8720260
8720 346,480 MISSION BAY BLVD NORTH #711,10/3/2012,"$911,000 ",2,8720346
8720 407,420 MISSION BAY BLVD NORTH #1202,10/3/2012,"$1,370,000 ",2,8720407
8720 417,420 MISSION BAY BLVD NORTH #1304,10/3/2012,"$1,344,000 ",2,8720417
8720 419,480 MISSION BAY BLVD NORTH #1306,10/3/2012,"$1,262,000 ",2,8720419
0529 047,1755 FILBERT ST #19 1E,10/4/2012,"$987,000 ",2,529047
8720 311,480 MISSION BAY BLVD NORTH #615,10/4/2012,"$659,000 ",2,8720311
8720 413,480 MISSION BAY BLVD NORTH #1208,10/4/2012,"$1,267,000 ",2,8720413
0452T045I,900 NORTH POINT ST 632 MB37I,10/11/2012,"$208,000 ",2,0452T045I
0047C127,1080 CHESTNUT ST #007B,10/12/2012,"$1,090,000 ",2,0047C127
0493 033,1817 CHESTNUT ST,10/12/2012,"$707,000 ",2,493033
1061 053,105 PALM AVE,10/12/2012,"$700,000 ",2,1061053
2063 003,1823 26TH AVE,10/12/2012,"$769,500 ",2,2063003
2090 007,1927 44TH AVE,10/12/2012,"$795,000 ",2,2090007
3978 109,451 KANSAS ST #491,10/12/2012,"$756,000 ",2,3978109
6579 030,3993 CESAR CHAVEZ ST,10/12/2012,"$940,000 ",2,6579030
7126A066,3981 ALEMANY BLVD #311,10/12/2012,"$285,000 ",2,7126A066
0735 118,1112 EDDY ST A,10/15/2012,"$415,000 ",2,735118
3587 120,29 OAKWOOD ST #20,10/15/2012,"$870,000 ",2,3587120
3643 070,251 BARTLETT ST UNIT #B,10/15/2012,"$860,000 ",2,3643070
3719 344,301 MISSION ST #49A,10/15/2012,"$3,500,000 ",2,3719344
5342 002A,1600 SHAFTER AVE,10/15/2012,"$340,000 ",2,5342002A
8720 437,480 MISSION BAY BLVD NORTH #1508,10/15/2012,"$1,298,000 ",2,8720437
0098C023,1020 UNION ST #024,10/16/2012,"$1,575,000 ",2,0098C023
1129 037,1973 EDDY ST 4,10/16/2012,"$859,000 ",2,1129037
3719 028,301 MISSION STREET #3J,10/16/2012,"$995,000 ",2,3719028
3735 113,246 02ND ST #1006,10/16/2012,"$779,000 ",2,3735113
0696 079,1388 GOUGH ST 1003,10/17/2012,"$850,000 ",2,696079
1785 019A,1374 31ST AVE,10/17/2012,"$866,000 ",2,1785019A
2398 037,2426 28TH AVE,10/17/2012,"$730,000 ",2,2398037
0715 054,151 ALICE B TOKLAS PL 708,10/18/2012,"$850,000 ",2,715054
1175 046,2001 MCALLISTER ST 110,10/18/2012,"$715,000 ",2,1175046
1255 073,24 DELMAR ST,10/18/2012,"$1,350,000 ",2,1255073
2360 022,2366 32ND AVE,10/18/2012,"$690,000 ",2,2360022
3771 128,501 BEALE ST #21F,10/18/2012,"$1,025,000 ",2,3771128
8720 159,420 MISSION BAY BLVD NORTH #222,10/18/2012,"$815,000 ",2,8720159
0595 150,1601 PACIFIC AVE #205,10/19/2012,"$865,000 ",2,595150
1129 030,1030 BRODERICK ST,10/19/2012,"$1,400,000 ",2,1129030
1553 011,557 10TH AVE,10/19/2012,"$2,200,000 ",2,1553011
3764 071,461 02ND ST 102C,10/19/2012,"$1,030,000 ",2,3764071
3784 154,25 LUCERNE ST #A,10/19/2012,"$910,000 ",2,3784154
8708 199,235 BERRY ST #704,10/19/2012,"$850,000 ",2,8708199
1185 051,1667A FULTON ST,10/22/2012,"$600,000 ",2,1185051
1282 030,1219 SHRADER ST,10/22/2012,"$860,000 ",2,1282030
3541 100,91 HENRY ST,10/22/2012,"$780,000 ",2,3541100
5803 021,44 CRESCENT AVE,10/22/2012,"$939,000 ",2,5803021
0696 074,1388 GOUGH ST #906,10/23/2012,"$788,000 ",2,696074
0779 189,988 FULTON ST UNIT 335,10/24/2012,"$567,500 ",2,779189
1050 006,1829 SCOTT ST,10/24/2012,"$1,775,000 ",2,1050006
2799 052,902 CORBETT AVE 4,10/24/2012,"$568,000 ",2,2799052
3162 006,1434 PLYMOUTH AVE,10/24/2012,"$828,888 ",2,3162006
3569 103,88 HOFF ST UNIT11,10/24/2012,"$679,000 ",2,3569103
6631 008,324 DAY ST,10/24/2012,"$1,641,750 ",2,6631008
5529 009,76 MONTCALM ST,10/25/2012,"$865,000 ",2,5529009
6780 008,253 THERESA ST,10/25/2012,"$735,000 ",2,6780008
0742 107,750 VAN NESS AVE 202,10/26/2012,"$530,000 ",2,742107
2649 045,4125 - 4127 17TH ST,10/26/2012,"$950,000 ",2,2649045
8720 435,480 MISSION BAY BLVD NORTH #1506,10/26/2012,"$1,282,000 ",2,8720435
0451 231,1050 NORTH POINT ST #1401,10/31/2012,"$1,100,000 ",2,451231
0980 063,2801 JACKSON ST #301,11/2/2012,"$710,000 ",2,980063
2623 214,348 CASTRO ST,11/2/2012,"$1,078,000 ",2,2623214
3719 343,301 MISSION ST #48F,11/2/2012,"$2,200,000 ",2,3719343
3789 657,229 BRANNAN ST #3-A,11/2/2012,"$1,350,000 ",2,3789657
4085 047,3011 20TH ST UNIT #3,11/2/2012,"$965,000 ",2,4085047
5329 004,1926 QUESADA AVE,11/2/2012,"$480,000 ",2,5329004
0595 151,1601 PACIFIC AVE #206,11/8/2012,"$861,000 ",2,595151
1210 044,1927 HAYES ST 5,11/8/2012,"$790,000 ",2,1210044
2777 002,3815 MARKET ST,11/8/2012,"$850,000 ",2,2777002
3727 141,180 07TH ST #201,11/8/2012,"$515,000 ",2,3727141
4991 666,0202 PELICAN COVE TERR,11/8/2012,"$605,000 ",2,4991666
5666 002,104 WOOL ST,11/8/2012,"$715,000 ",2,5666002
0062 054,1940 STOCKTON ST 103,11/9/2012,"$938,000 ",2,62054
0696 054,1388 GOUGH ST 607,11/9/2012,"$852,750 ",2,696054
1029 052,2999 CALIFORNIA ST 402,11/9/2012,"$685,000 ",2,1029052
2975 001,526 ULLOA ST,11/9/2012,"$951,000 ",2,2975001
3779 201,317 HARRIET ST UNIT #25,11/9/2012,"$725,000 ",2,3779201
3789 624,219 BRANNAN ST #14K,11/9/2012,"$1,238,625 ",2,3789624
6632 097,210 DAY ST #210,11/9/2012,"$1,035,000 ",2,6632097
8702 424,260 KING ST #1605,11/9/2012,"$1,160,000 ",2,8702424
8702 499,260 KING ST #665,11/9/2012,"$705,000 ",2,8702499
8720 411,480 MISSION BAY BLVD NORTH #1206,11/9/2012,"$1,251,000 ",2,8720411
3598 079,710 GUERRERO ST,11/13/2012,"$1,295,000 ",2,3598079
0027 042,757 NORTH POINT ST 4,11/14/2012,"$845,000 ",2,27042
1129 106,1800 TURK ST #403,11/14/2012,"$670,000 ",2,1129106
3751 337,300 03RD ST 1002,11/14/2012,"$800,000 ",2,3751337
8720 313,435 CHINA BASIN ST #617,11/14/2012,"$879,000 ",2,8720313
2854 034,155 GARDENSIDE DR 34,11/15/2012,"$570,000 ",2,2854034
8720 391,420 MISSION BAY BLVD NORTH #1002,11/15/2012,"$1,389,000 ",2,8720391
0047C130,1080 CHESTNUT ST #008A,11/21/2012,"$1,780,000 ",2,0047C130
8720 188,435 CHINA BASIN ST #327,11/26/2012,"$938,000 ",2,8720188
0624 023,1835 FRANKLIN ST 201,11/30/2012,"$870,000 ",2,624023
0677 120,2111 BUSH ST,11/30/2012,"$920,000 ",2,677120
0696 086,1388 GOUGH ST 1103,11/30/2012,"$790,000 ",2,696086
1129 034,1997 EDDY ST 1,11/30/2012,"$913,000 ",2,1129034
1136 045,124 BEAUMONT AVE,11/30/2012,"$825,000 ",2,1136045
1275 079,403 CARL STREET,11/30/2012,"$1,105,000 ",2,1275079
1824 031,1462 30TH AVE,11/30/2012,"$920,000 ",2,1824031
2361 025,2366 33RD AVE,11/30/2012,"$650,000 ",2,2361025
3601 057,637 NOE ST,11/30/2012,"$1,530,000 ",2,3601057
3719 140,301 MISSION ST #17F,11/30/2012,"$1,810,000 ",2,3719140
3719 165,301 MISSION ST #20F,11/30/2012,"$1,850,000 ",2,3719165
3745 230,301 MAIN ST UNIT 15F,11/30/2012,"$1,140,000 ",2,3745230
3776 412,555 04TH ST #841,11/30/2012,"$879,000 ",2,3776412
3789 596,219 BRANNAN ST. #9K,11/30/2012,"$1,085,000 ",2,3789596
6175 029,1125 GOETTINGEN ST,11/30/2012,"$430,000 ",2,6175029
8720 199,435 CHINA BASIN ST #338,11/30/2012,"$842,930 ",2,8720199
8720 225,435 CHINA BASIN ST #423,11/30/2012,"$901,000 ",2,8720225
8720 344,480 MISSION BAY BLVD NORTH #709,11/30/2012,"$872,000 ",2,8720344
0128C022,1750 TAYLOR ST #0703,12/11/2012,"$1,800,000 ",2,0128C022
0247C037,1200 CALIFORNIA ST #012D,12/11/2012,"$1,935,000 ",2,0247C037
