DATE,EXJPUS,INTGSBJPM193N,TB6MS
1990-01-01 00:00:00,144.9819,6.64,7.55
1990-02-01 00:00:00,145.6932,6.92,7.7
1990-03-01 00:00:00,153.3082,7.36,7.85
1990-04-01 00:00:00,158.4586,7.24,7.84
1990-05-01 00:00:00,154.0441,6.7,7.76
1990-06-01 00:00:00,153.6957,7.06,7.63
1990-07-01 00:00:00,149.0395,7.48,7.52
1990-08-01 00:00:00,147.4609,8.19,7.38
1990-09-01 00:00:00,138.4405,8.62,7.32
1990-10-01 00:00:00,129.5909,7.68,7.16
1990-11-01 00:00:00,129.2155,7.4,7.03
1990-12-01 00:00:00,133.889,7.06,6.7
1991-01-01 00:00:00,133.6986,6.83,6.28
1991-02-01 00:00:00,130.5358,6.66,5.93
1991-03-01 00:00:00,137.3867,6.89,5.92
1991-04-01 00:00:00,137.1127,7.0,5.71
1991-05-01 00:00:00,138.2218,6.87,5.61
1991-06-01 00:00:00,139.7475,7.12,5.75
1991-07-01 00:00:00,137.83,6.8,5.7
1991-08-01 00:00:00,136.8164,6.55,5.39
1991-09-01 00:00:00,134.2995,6.11,5.25
1991-10-01 00:00:00,130.7723,6.02,5.04
1991-11-01 00:00:00,129.6321,5.93,4.61
1991-12-01 00:00:00,128.0395,5.53,4.1
1992-01-01 00:00:00,125.4614,5.53,3.87
1992-02-01 00:00:00,127.6989,5.41,3.93
1992-03-01 00:00:00,132.8627,5.33,4.18
1992-04-01 00:00:00,133.5395,5.48,3.87
1992-05-01 00:00:00,130.771,5.41,3.75
1992-06-01 00:00:00,126.8355,5.14,3.77
1992-07-01 00:00:00,125.8817,4.74,3.28
1992-08-01 00:00:00,126.231,4.62,3.21
1992-09-01 00:00:00,122.5967,4.49,2.96
1992-10-01 00:00:00,121.1652,4.41,3.04
1992-11-01 00:00:00,123.88,4.4,3.34
1992-12-01 00:00:00,124.0409,4.37,3.36
1993-01-01 00:00:00,124.9932,4.31,3.14
1993-02-01 00:00:00,120.7595,3.76,3.07
1993-03-01 00:00:00,117.0174,4.17,3.05
1993-04-01 00:00:00,112.4114,4.26,2.97
1993-05-01 00:00:00,110.343,4.35,3.07
1993-06-01 00:00:00,107.4118,4.09,3.2
1993-07-01 00:00:00,107.6914,3.9,3.16
1993-08-01 00:00:00,103.765,3.69,3.14
1993-09-01 00:00:00,105.5748,3.36,3.06
1993-10-01 00:00:00,107.02,3.11,3.12
1993-11-01 00:00:00,107.8765,2.73,3.26
1993-12-01 00:00:00,109.913,2.58,3.23
1994-01-01 00:00:00,111.4415,3.29,3.15
1994-02-01 00:00:00,106.3011,3.51,3.43
1994-03-01 00:00:00,105.0974,3.46,3.78
1994-04-01 00:00:00,103.4843,3.51,4.09
1994-05-01 00:00:00,103.7533,3.29,4.6
1994-06-01 00:00:00,102.5264,3.67,4.55
1994-07-01 00:00:00,98.445,3.8,4.75
1994-08-01 00:00:00,99.9404,4.14,4.88
1994-09-01 00:00:00,98.7743,3.92,5.04
1994-10-01 00:00:00,98.353,4.08,5.39
1994-11-01 00:00:00,98.044,3.99,5.72
1994-12-01 00:00:00,100.1824,3.91,6.21
1995-01-01 00:00:00,99.766,3.95,6.21
1995-02-01 00:00:00,98.2368,3.74,6.03
1995-03-01 00:00:00,90.5196,3.01,5.89
1995-04-01 00:00:00,83.6895,2.79,5.77
1995-05-01 00:00:00,85.1127,2.16,5.67
1995-06-01 00:00:00,84.6355,2.14,5.42
1995-07-01 00:00:00,87.397,2.17,5.37
1995-08-01 00:00:00,94.7383,2.41,5.41
1995-09-01 00:00:00,100.5455,1.95,5.3
1995-10-01 00:00:00,100.839,2.01,5.32
1995-11-01 00:00:00,101.94,1.88,5.27
1995-12-01 00:00:00,101.8495,2.17,5.13
1996-01-01 00:00:00,105.7514,2.32,4.92
1996-02-01 00:00:00,105.788,2.58,4.77
1996-03-01 00:00:00,105.94,2.3,4.96
1996-04-01 00:00:00,107.1995,2.55,5.06
1996-05-01 00:00:00,106.3423,2.35,5.12
1996-06-01 00:00:00,108.96,2.4,5.25
1996-07-01 00:00:00,109.1909,2.53,5.3
1996-08-01 00:00:00,107.8659,2.14,5.13
1996-09-01 00:00:00,109.931,2.05,5.24
1996-10-01 00:00:00,112.4123,1.8,5.11
1996-11-01 00:00:00,112.2958,1.75,5.07
1996-12-01 00:00:00,113.981,1.93,5.04
1997-01-01 00:00:00,117.9124,1.77,5.1
1997-02-01 00:00:00,122.9621,1.78,5.06
1997-03-01 00:00:00,122.7738,1.75,5.26
1997-04-01 00:00:00,125.6377,1.85,5.37
1997-05-01 00:00:00,119.1924,2.03,5.3
1997-06-01 00:00:00,114.2857,1.92,5.13
1997-07-01 00:00:00,115.3759,1.7,5.12
1997-08-01 00:00:00,117.9295,1.6,5.19
1997-09-01 00:00:00,120.89,1.54,5.09
1997-10-01 00:00:00,121.0605,1.35,5.09
1997-11-01 00:00:00,125.3817,1.43,5.17
1997-12-01 00:00:00,129.7341,1.53,5.24
1998-01-01 00:00:00,129.5475,1.42,5.03
1998-02-01 00:00:00,125.8516,1.4,5.07
1998-03-01 00:00:00,129.0823,1.28,5.04
1998-04-01 00:00:00,131.7536,1.08,5.06
1998-05-01 00:00:00,134.896,1.08,5.14
1998-06-01 00:00:00,140.3305,1.21,5.12
1998-07-01 00:00:00,140.7874,1.15,5.03
1998-08-01 00:00:00,144.68,0.98,4.95
1998-09-01 00:00:00,134.4805,0.66,4.63
1998-10-01 00:00:00,121.0486,0.69,4.05
1998-11-01 00:00:00,120.2895,0.85,4.42
1998-12-01 00:00:00,117.0709,1.36,4.4
1999-01-01 00:00:00,113.29,2.1,4.33
1999-02-01 00:00:00,116.6684,1.995,4.44
1999-03-01 00:00:00,119.473,1.745,4.47
1999-04-01 00:00:00,119.7723,1.405,4.37
1999-05-01 00:00:00,121.9995,1.48,4.56
1999-06-01 00:00:00,120.7245,1.835,4.82
1999-07-01 00:00:00,119.3305,1.785,4.58
1999-08-01 00:00:00,113.2268,1.91,4.87
1999-09-01 00:00:00,106.8752,1.71,4.88
1999-10-01 00:00:00,105.965,1.81,4.98
1999-11-01 00:00:00,104.6485,1.83,5.2
1999-12-01 00:00:00,102.5843,1.645,5.44
2000-01-01 00:00:00,105.296,1.71,5.5
2000-02-01 00:00:00,109.3885,1.835,5.72
2000-03-01 00:00:00,106.3074,1.77,5.85
2000-04-01 00:00:00,105.627,1.76,5.81
2000-05-01 00:00:00,108.3205,1.655,6.1
2000-06-01 00:00:00,106.1255,1.76,5.97
2000-07-01 00:00:00,108.2115,1.675,6.0
2000-08-01 00:00:00,108.0804,1.895,6.07
2000-09-01 00:00:00,106.8375,1.84,5.98
2000-10-01 00:00:00,108.4429,1.815,6.04
2000-11-01 00:00:00,109.0095,1.615,6.06
2000-12-01 00:00:00,112.209,1.64,5.68
2001-01-01 00:00:00,116.6719,1.5,4.95
2001-02-01 00:00:00,116.2337,1.3,4.71
2001-03-01 00:00:00,121.505,1.27,4.28
2001-04-01 00:00:00,123.771,1.29,3.85
2001-05-01 00:00:00,121.7682,1.24,3.62
2001-06-01 00:00:00,122.351,1.21,3.45
2001-07-01 00:00:00,124.4981,1.33,3.45
2001-08-01 00:00:00,121.367,1.375,3.29
2001-09-01 00:00:00,118.6117,1.42,2.63
2001-10-01 00:00:00,121.4536,1.3,2.12
2001-11-01 00:00:00,122.4055,1.355,1.88
2001-12-01 00:00:00,127.5945,1.365,1.78
2002-01-01 00:00:00,132.6833,1.48,1.73
2002-02-01 00:00:00,133.6426,1.525,1.82
2002-03-01 00:00:00,131.061,1.39,2.01
2002-04-01 00:00:00,130.7718,1.37,1.93
2002-05-01 00:00:00,126.375,1.385,1.86
2002-06-01 00:00:00,123.2905,1.31,1.79
2002-07-01 00:00:00,117.8991,1.31,1.7
2002-08-01 00:00:00,118.9927,1.175,1.6
2002-09-01 00:00:00,121.078,1.175,1.6
2002-10-01 00:00:00,123.9077,0.985,1.56
2002-11-01 00:00:00,121.6079,0.995,1.27
2002-12-01 00:00:00,121.8929,0.9,1.24
2003-01-01 00:00:00,118.8133,0.8,1.2
2003-02-01 00:00:00,119.3379,0.78,1.18
2003-03-01 00:00:00,118.6871,0.7,1.13
2003-04-01 00:00:00,119.895,0.605,1.14
2003-05-01 00:00:00,117.3681,0.53,1.08
2003-06-01 00:00:00,118.329,0.835,0.92
2003-07-01 00:00:00,118.6959,0.935,0.95
2003-08-01 00:00:00,118.6624,1.455,1.03
2003-09-01 00:00:00,114.8,1.385,1.01
2003-10-01 00:00:00,109.4955,1.46,1.0
2003-11-01 00:00:00,109.1778,1.295,1.02
2003-12-01 00:00:00,107.7377,1.36,0.99
2004-01-01 00:00:00,106.2685,1.31,0.97
2004-02-01 00:00:00,106.7079,1.225,0.99
2004-03-01 00:00:00,108.5157,1.44,0.99
2004-04-01 00:00:00,107.6564,1.53,1.09
2004-05-01 00:00:00,112.196,1.52,1.31
2004-06-01 00:00:00,109.4336,1.775,1.6
2004-07-01 00:00:00,109.4871,1.85,1.66
2004-08-01 00:00:00,110.2336,1.535,1.72
2004-09-01 00:00:00,110.0914,1.44,1.87
2004-10-01 00:00:00,108.7835,1.49,2.0
2004-11-01 00:00:00,104.699,1.445,2.27
2004-12-01 00:00:00,103.8104,1.43,2.43
2005-01-01 00:00:00,103.341,1.32,2.61
2005-02-01 00:00:00,104.9442,1.465,2.77
2005-03-01 00:00:00,105.2543,1.32,3.0
2005-04-01 00:00:00,107.1938,1.235,3.05
2005-05-01 00:00:00,106.5952,1.24,3.08
2005-06-01 00:00:00,108.7473,1.165,3.13
2005-07-01 00:00:00,111.9535,1.305,3.42
2005-08-01 00:00:00,110.6065,1.345,3.66
2005-09-01 00:00:00,111.239,1.475,3.67
2005-10-01 00:00:00,114.8695,1.545,3.99
2005-11-01 00:00:00,118.454,1.43,4.15
2005-12-01 00:00:00,118.4624,1.47,4.18
2006-01-01 00:00:00,115.4765,1.56,4.31
2006-02-01 00:00:00,117.8605,1.58,4.52
2006-03-01 00:00:00,117.2778,1.765,4.62
2006-04-01 00:00:00,117.0695,1.92,4.72
2006-05-01 00:00:00,111.7305,1.81,4.82
2006-06-01 00:00:00,114.625,1.915,4.97
2006-07-01 00:00:00,115.767,1.92,5.06
2006-08-01 00:00:00,115.9243,1.61,4.97
2006-09-01 00:00:00,117.2145,1.665,4.89
2006-10-01 00:00:00,118.609,1.71,4.92
2006-11-01 00:00:00,117.3205,1.645,4.95
2006-12-01 00:00:00,117.322,1.675,4.88
2007-01-01 00:00:00,120.4471,1.695,4.95
2007-02-01 00:00:00,120.5047,1.625,4.96
2007-03-01 00:00:00,117.26,1.65,4.89
2007-04-01 00:00:00,118.9324,1.62,4.86
2007-05-01 00:00:00,120.7732,1.745,4.78
2007-06-01 00:00:00,122.6886,1.87,4.76
2007-07-01 00:00:00,121.4148,1.79,4.83
2007-08-01 00:00:00,116.7335,1.595,4.38
2007-09-01 00:00:00,115.0435,1.675,4.05
2007-10-01 00:00:00,115.8661,1.6,4.01
2007-11-01 00:00:00,111.0729,1.47,3.46
2007-12-01 00:00:00,112.449,1.5,3.23
2008-01-01 00:00:00,107.8181,1.43,2.75
2008-02-01 00:00:00,107.03,1.355,2.04
2008-03-01 00:00:00,100.7562,1.275,1.48
2008-04-01 00:00:00,102.6777,1.575,1.55
2008-05-01 00:00:00,104.3595,1.75,1.82
2008-06-01 00:00:00,106.9152,1.59,2.13
2008-07-01 00:00:00,106.8518,1.53,1.93
2008-08-01 00:00:00,109.3624,1.405,1.92
2008-09-01 00:00:00,106.5748,1.46,1.61
2008-10-01 00:00:00,99.9659,1.465,1.2
2008-11-01 00:00:00,96.9656,1.39,0.73
2008-12-01 00:00:00,91.275,1.165,0.26
2009-01-01 00:00:00,90.1205,1.29,0.3
2009-02-01 00:00:00,92.9158,1.27,0.45
2009-03-01 00:00:00,97.855,1.345,0.42
2009-04-01 00:00:00,98.92,1.42,0.35
2009-05-01 00:00:00,96.6445,1.48,0.3
2009-06-01 00:00:00,96.6145,1.35,0.31
2009-07-01 00:00:00,94.367,1.41,0.27
2009-08-01 00:00:00,94.8971,1.305,0.26
2009-09-01 00:00:00,91.2748,1.29,0.21
2009-10-01 00:00:00,90.3671,1.405,0.16
2009-11-01 00:00:00,89.2674,1.26,0.15
2009-12-01 00:00:00,89.9509,1.285,0.17
2010-01-01 00:00:00,91.1011,1.315,0.15
2010-02-01 00:00:00,90.1395,1.295,0.18
2010-03-01 00:00:00,90.7161,1.39,0.22
2010-04-01 00:00:00,93.4527,1.28,0.24
2010-05-01 00:00:00,91.973,1.255,0.22
2010-06-01 00:00:00,90.8059,1.08,0.19
2010-07-01 00:00:00,87.5005,1.065,0.2
2010-08-01 00:00:00,85.3727,0.96,0.19
2010-09-01 00:00:00,84.3571,0.93,0.19
2010-10-01 00:00:00,81.7285,0.93,0.18
2010-11-01 00:00:00,82.518,1.19,0.18
2010-12-01 00:00:00,83.3376,1.12,0.19
2011-01-01 00:00:00,82.625,1.21,0.18
2011-02-01 00:00:00,82.5368,1.255,0.17
2011-03-01 00:00:00,81.647,1.25,0.16
2011-04-01 00:00:00,83.1771,1.2,0.12
2011-05-01 00:00:00,81.1257,1.15,0.09
2011-06-01 00:00:00,80.4259,1.13,0.1
2011-07-01 00:00:00,79.2425,1.075,0.08
2011-08-01 00:00:00,76.9657,1.03,0.06
2011-09-01 00:00:00,76.7957,1.025,0.04
2011-10-01 00:00:00,76.643,1.045,0.05
2011-11-01 00:00:00,77.5595,1.07,0.05
2011-12-01 00:00:00,77.7967,0.98,0.05
2012-01-01 00:00:00,76.964,0.96,0.07
2012-02-01 00:00:00,78.47,0.955,0.12
2012-03-01 00:00:00,82.4659,0.985,0.14
2012-04-01 00:00:00,81.2524,0.885,0.14
2012-05-01 00:00:00,79.6668,0.825,0.15
2012-06-01 00:00:00,79.3152,,0.15
